   t                 theta (Euler)              theta (Euler-Cromer)
 10.70            -0.48299806241E-01            -0.20861949171E-01
 10.80            -0.34245862978E-01            -0.12283382748E-01
 10.90            -0.19708921652E-01            -0.35819824970E-02
 11.00            -0.48295216960E-02             0.51552375789E-02
 11.10             0.10246967476E-01             0.13840905279E-01
 11.20             0.25371751866E-01             0.22388163926E-01
 11.30             0.40394066580E-01             0.30711540934E-01
 11.40             0.55162663776E-01             0.38727802533E-01
 11.50             0.69527320306E-01             0.46356786106E-01
 11.60             0.83340350198E-01             0.53522201819E-01
 11.70             0.96458106888E-01             0.60152395513E-01
 11.80             0.10874246007E+00             0.66181065252E-01
 11.90             0.12006223219E+00             0.71547924338E-01
 12.00             0.13029457971E+00             0.76199304181E-01
 12.10             0.13932630491E+00             0.80088690983E-01
 12.20             0.14705508431E+00             0.83177190874E-01
 12.30             0.15339060065E+00             0.85433918857E-01
 12.40             0.15825556616E+00             0.86836307651E-01
 12.50             0.16158662566E+00             0.87370333369E-01
 12.60             0.16333512950E+00             0.87030655753E-01
 12.70             0.16346776708E+00             0.85820671579E-01
 12.80             0.16196705337E+00             0.83752480690E-01
 12.90             0.15883166198E+00             0.80846764993E-01
 13.00             0.15407660007E+00             0.77132581647E-01
 13.10             0.14773322153E+00             0.72647072484E-01
 13.20             0.13984907699E+00             0.67435092597E-01
 13.30             0.13048760024E+00             0.61548761783E-01
 13.40             0.11972763271E+00             0.55046943352E-01
 13.50             0.10766278919E+00             0.47994655487E-01
 13.60             0.94400669334E-01             0.40462421068E-01
 13.70             0.80061921589E-01             0.32525562437E-01
 13.80             0.64779167151E-01             0.24263448182E-01
 13.90             0.48695793497E-01             0.15758699446E-01
 14.00             0.31964628172E-01             0.70963637148E-02
 14.10             0.14746504911E-01            -0.16369356534E-02
 14.20            -0.27912646312E-02            -0.10353865665E-01
 14.30            -0.20476499223E-01            -0.18967257020E-01
 14.40            -0.38133821168E-01            -0.27390975805E-01
 14.50            -0.55586378120E-01            -0.35540784832E-01
 14.60            -0.72657596862E-01            -0.43335186010E-01
 14.70            -0.89172951822E-01            -0.50696235328E-01
 14.80            -0.10496173081E+00            -0.57550322293E-01
 14.90            -0.11985878029E+00            -0.63828906036E-01
 15.00            -0.13370621245E+00            -0.69469200717E-01
 15.10            -0.14635505681E+00            -0.74414803392E-01
 15.20            -0.15766683905E+00            -0.78616258033E-01
 15.30            -0.16751507072E+00            -0.82031550093E-01
 15.40            -0.17578663400E+00            -0.84626526652E-01
 15.50            -0.18238304657E+00            -0.86375237945E-01
 15.60            -0.18722159280E+00            -0.87260196859E-01
 15.70            -0.19023630857E+00            -0.87272553804E-01
 15.80            -0.19137880841E+00            -0.86412185210E-01
 15.90            -0.19061894516E+00            -0.84687694765E-01
 16.00            -0.18794529383E+00            -0.82116327372E-01
 16.10            -0.18336545304E+00            -0.78723796705E-01
 16.20            -0.17690615932E+00            -0.74544028072E-01
 16.30            -0.16861321107E+00            -0.69618819157E-01
 16.40            -0.15855120123E+00            -0.63997422051E-01
 16.50            -0.14680305927E+00            -0.57736050725E-01
 16.60            -0.13346940530E+00            -0.50897318891E-01
 16.70            -0.11866772074E+00            -0.43549613868E-01
 16.80            -0.10253134213E+00            -0.35766412707E-01
 16.90            -0.85208286305E-01            -0.27625547419E-01
 17.00            -0.66859917063E-01            -0.19208426656E-01
 17.10            -0.47659464957E-01            -0.10599221627E-01
 17.20            -0.27790413681E-01            -0.18840243813E-02
 17.30            -0.74447677549E-02             0.68500131079E-02
 17.40             0.13178782308E-01             0.15515550466E-01
 17.50             0.33876780048E-01             0.24025932320E-01
 17.60             0.54442989965E-01             0.32296054850E-01
 17.70             0.74670432082E-01             0.40243216832E-01
 17.80             0.94353444299E-01             0.47787946645E-01
 17.90             0.11328975219E+00             0.54854796992E-01
 18.00             0.13128252565E+00             0.61373099369E-01
 18.10             0.14814240158E+00             0.67277670753E-01
 18.20             0.16368945225E+00             0.72509465429E-01
 18.30             0.17775507891E+00             0.77016165450E-01
 18.40             0.19018381105E+00             0.80752703818E-01
 18.50             0.20083499240E+00             0.83681715146E-01
 18.60             0.20958433563E+00             0.85773909324E-01
 18.70             0.21632532895E+00             0.87008364408E-01
 18.80             0.22097047890E+00             0.87372735848E-01
 18.90             0.22345237557E+00             0.86863379930E-01
 19.00             0.22372456745E+00             0.85485390212E-01
 19.10             0.22176223557E+00             0.83252546593E-01
 19.20             0.21756265802E+00             0.80187177507E-01
 19.30             0.21114545811E+00             0.76319936646E-01
 19.40             0.20255263162E+00             0.71689496419E-01
 19.50             0.19184835055E+00             0.66342161228E-01
 19.60             0.17911854317E+00             0.60331404424E-01
 19.70             0.16447025228E+00             0.53717333576E-01
 19.80             0.14803077595E+00             0.46566089392E-01
 19.90             0.12994659711E+00             0.38949184315E-01
 20.00             0.11038211050E+00             0.30942787394E-01
 20.10             0.89518157928E-01             0.22626962599E-01
 20.20             0.67550384247E-01             0.14084868179E-01
 20.30             0.44687428986E-01             0.54019250761E-02
 20.40             0.21148969884E-01            -0.33350372771E-02
 20.50            -0.28363635089E-02            -0.12038649258E-01
 20.60            -0.27033186600E-01            -0.20621874745E-01
 20.70            -0.51201646057E-01            -0.28998881486E-01
 20.80            -0.75099773647E-01            -0.37085899411E-01
 20.90            -0.98485884777E-01            -0.44802058343E-01
 21.00            -0.12112099817E+00            -0.52070196691E-01
 21.10            -0.14277125272E+00            -0.58817633072E-01
 21.20            -0.16321029728E+00            -0.64976893122E-01
 21.30            -0.18222162932E+00            -0.70486384242E-01
 21.40            -0.19960085838E+00            -0.75291011518E-01
 21.50            -0.21515787115E+00            -0.79342728680E-01
 21.60            -0.22871887534E+00            -0.82601018555E-01
 21.70            -0.24012830081E+00            -0.85033298244E-01
 21.80            -0.24925053754E+00            -0.86615244951E-01
 21.90            -0.25597149125E+00            -0.87331039208E-01
 22.00            -0.26019993959E+00            -0.87173523073E-01
 22.10            -0.26186867301E+00            -0.86144271708E-01
 22.20            -0.26093540704E+00            -0.84253577625E-01
 22.30            -0.25738345434E+00            -0.81520347766E-01
 22.40            -0.25122214757E+00            -0.77971914430E-01
 22.50            -0.24248700626E+00            -0.73643761949E-01
 22.60            -0.23123964347E+00            -0.68579171849E-01
 22.70            -0.21756741062E+00            -0.62828790030E-01
 22.80            -0.20158278133E+00            -0.56450120311E-01
 22.90            -0.18342247794E+00            -0.49506949388E-01
 23.00            -0.16324634673E+00            -0.42068708972E-01
 23.10            -0.14123599075E+00            -0.34209781467E-01
 23.20            -0.11759317129E+00            -0.26008756146E-01
 23.30            -0.92537991932E-01            -0.17547643264E-01
 23.40            -0.66306880859E-01            -0.89110539496E-02
 23.50            -0.39150389866E-01            -0.18535409554E-03
 23.60            -0.11330830065E-01             0.85421992995E-02
 23.70             0.16880233635E-01             0.17184330702E-01
 23.80             0.45204605636E-01             0.25654618797E-01
 23.90             0.73360175300E-01             0.33868360704E-01
 24.00             0.10106369891E+00             0.41743419004E-01
 24.10             0.12803362076E+00             0.49201043114E-01
 24.20             0.15399290563E+00             0.56166656792E-01
 24.30             0.17867185429E+00             0.62570603903E-01
 24.40             0.20181087389E+00             0.68348844975E-01
 24.50             0.22316317495E+00             0.73443597597E-01
 24.60             0.24249736727E+00             0.77803914243E-01
 24.70             0.25959992784E+00             0.81386191747E-01
 24.80             0.27427751474E+00             0.84154607333E-01
 24.90             0.28635910236E+00             0.86081476846E-01
 25.00             0.29569791483E+00             0.87147531591E-01
 25.10             0.30217313628E+00             0.87342111019E-01
 25.20             0.30569137858E+00             0.86663269338E-01
 25.30             0.30618788952E+00             0.85117794963E-01
 25.40             0.30362748667E+00             0.82721142638E-01
 25.50             0.29800520492E+00             0.79497278887E-01
 25.60             0.28934664831E+00             0.75478442347E-01
 25.70             0.27770803966E+00             0.70704821384E-01
 25.80             0.26317596451E+00             0.65224152207E-01
 25.90             0.24586680897E+00             0.59091241507E-01
 26.00             0.22592589379E+00             0.52367418393E-01
 26.10             0.20352631052E+00             0.45119921095E-01
 26.20             0.17886746830E+00             0.37421224585E-01
 26.30             0.15217336299E+00             0.29348315830E-01
 26.40             0.12369058299E+00             0.20981923917E-01
 26.50             0.93686069358E-01             0.12405712764E-01
 26.60             0.62444649898E-01             0.37054444842E-02
 26.70             0.30266369745E-01            -0.50318782409E-02
 26.80            -0.25363569072E-02            -0.13718882183E-01
 26.90            -0.35641747257E-01            -0.22268697304E-01
 27.00            -0.68721774037E-01            -0.30595825452E-01
 27.10            -0.10144538335E+00            -0.38616995345E-01
 27.20            -0.13348177491E+00            -0.46251995285E-01
 27.30            -0.16450371265E+00            -0.53424475272E-01
 27.40            -0.19419083263E+00            -0.60062710506E-01
 27.50            -0.22223291549E+00            -0.66100318635E-01
 27.60            -0.24833309002E+00            -0.71476923578E-01
 27.70            -0.27221093540E+00            -0.76138759285E-01
 27.80            -0.29360544988E+00            -0.80039207399E-01
 27.90            -0.31227785500E+00            -0.83139263439E-01
 28.00            -0.32801420563E+00            -0.85407926845E-01
 28.10            -0.34062777770E+00            -0.86822510983E-01
 28.20            -0.34996120772E+00            -0.87368870010E-01
 28.30            -0.35588835996E+00            -0.87041540337E-01
 28.40            -0.35831590012E+00            -0.85843795261E-01
 28.50            -0.35718455669E+00            -0.83787612233E-01
 28.60            -0.35247005425E+00            -0.80893553082E-01
 28.70            -0.34418370625E+00            -0.77190558400E-01
 28.80            -0.33237265770E+00            -0.72715658134E-01
 28.90            -0.31711977209E+00            -0.67513601287E-01
 29.00            -0.29854315991E+00            -0.61636408427E-01
 29.10            -0.27679535000E+00            -0.55142851483E-01
 29.20            -0.25206210849E+00            -0.48097866024E-01
 29.30            -0.22456091349E+00            -0.40571901905E-01
 29.40            -0.19453909740E+00            -0.32640218766E-01
 29.50            -0.16227167217E+00            -0.24382133440E-01
 29.60            -0.12805885597E+00            -0.15880226780E-01
 29.70            -0.92223323051E-01            -0.72195178518E-02
 29.80            -0.55107201570E-01             0.15133862550E-02
 29.90            -0.17068846858E-01             0.10231156499E-01
 30.00             0.21520579869E-01             0.18846615178E-01
 30.10             0.60280695064E-01             0.27273607706E-01
 30.20             0.98825604461E-01             0.35427864156E-01
 30.30             0.13676770691E+00             0.43227841965E-01
 30.40             0.17372155331E+00             0.50595541354E-01
 30.50             0.20930772264E+00             0.57457285330E-01
 30.60             0.24315667644E+00             0.63744456452E-01
 30.70             0.27491255301E+00             0.69394183010E-01
 30.80             0.30423686282E+00             0.74349967737E-01
 30.90             0.33081204710E+00             0.78562252788E-01
 31.00             0.35434486275E+00             0.81988915310E-01
 31.10             0.37456955793E+00             0.84595688680E-01
 31.20             0.39125080448E+00             0.86356505162E-01
 31.30             0.40418635546E+00             0.87253756593E-01
 31.40             0.41320939838E+00             0.87278470458E-01
 31.50             0.41819057776E+00             0.86430399618E-01
 31.60             0.41903966315E+00             0.84718024783E-01
 31.70             0.41570684276E+00             0.82158469699E-01
 31.80             0.40818362574E+00             0.78777329918E-01
 31.90             0.39650334029E+00             0.74608416839E-01
 32.00             0.38074121859E+00             0.69693419591E-01
 32.10             0.36101406348E+00             0.64081488146E-01
 32.20             0.33747949618E+00             0.57828741821E-01
 32.30             0.31033478826E+00             0.50997708077E-01
 32.40             0.27981528537E+00             0.43656697253E-01
 32.50             0.24619243459E+00             0.35879119456E-01
 32.60             0.20977143097E+00             0.27742750464E-01
 32.70             0.17088850299E+00             0.19328953968E-01
 32.80             0.12990786071E+00             0.10721867932E-01
 32.90             0.87218333401E-01             0.20075632166E-02
 33.00             0.43229727482E-01            -0.67268171308E-02
 33.10            -0.16310617711E-02            -0.15393929307E-01
 33.20            -0.46924148299E-01            -0.23907102190E-01
 33.30            -0.92200924209E-01            -0.32181204051E-01
 33.40            -0.13700845864E+00            -0.40133493872E-01
 33.50            -0.18089398382E+00            -0.47684448754E-01
 33.60            -0.22340942442E+00            -0.54758559148E-01
 33.70            -0.26411592518E+00            -0.61285083951E-01
 33.80            -0.30258833170E+00            -0.67198757914E-01
 33.90            -0.33841957896E+00            -0.72440444298E-01
 34.00            -0.37122494291E+00            -0.76957726240E-01
 34.10            -0.40064611107E+00            -0.80705430918E-01
 34.20            -0.42635502980E+00            -0.83646081288E-01
 34.30            -0.44805748741E+00            -0.85750270845E-01
 34.40            -0.46549639473E+00            -0.86996957693E-01
 34.50            -0.47845472718E+00            -0.87373674965E-01
 34.60            -0.48675809568E+00            -0.86876655486E-01
 34.70            -0.49027691691E+00            -0.85510869453E-01
 34.80            -0.48892815718E+00            -0.83289974726E-01
 34.90            -0.48267662828E+00            -0.80236180251E-01
 35.00            -0.47153581781E+00            -0.76380023973E-01
