   t                 theta (Euler)              theta (Euler-Cromer)
 53.50            -0.12452833553E+01            -0.86185273554E-01
 53.60            -0.12558118050E+01            -0.84318715373E-01
 53.70            -0.12538874212E+01            -0.81608970038E-01
 53.80            -0.12394049193E+01            -0.78083135002E-01
 53.90            -0.12123835432E+01            -0.73776468617E-01
 54.00            -0.11729681179E+01            -0.68732037545E-01
 54.10            -0.11214288571E+01            -0.63000286098E-01
 54.20            -0.10581599152E+01            -0.56638531789E-01
 54.30            -0.98367668473E+00            -0.49710392163E-01
 54.40            -0.89861185510E+00            -0.42285148616E-01
 54.50            -0.80371025861E+00            -0.34437053582E-01
 54.60            -0.69982254358E+00            -0.26244588012E-01
 54.70            -0.58789772596E+00            -0.17789676562E-01
 54.80            -0.46897468291E+00            -0.91568683468E-02
 54.90            -0.34417266259E+00            -0.43249144792E-03
 55.00            -0.21468089545E+00             0.82962103655E-02
 55.10            -0.81747401683E-01             0.16941950075E-01
 55.20             0.53332901041E-01             0.25418270284E-01
 55.30             0.18923067778E+00             0.33640407790E-01
 55.40             0.32459512551E+00             0.41526141219E-01
 55.50             0.45806726646E+00             0.48996613235E-01
 55.60             0.58829345616E+00             0.55977119118E-01
 55.70             0.71393897319E+00             0.62397853811E-01
 55.80             0.83370155566E+00             0.68194609965E-01
 55.90             0.94632474840E+00             0.73309420020E-01
 56.00             0.10506109256E+01             0.77691135875E-01
 56.10             0.11454338553E+01             0.81295940370E-01
 56.20             0.12297506757E+01             0.84087785462E-01
 56.30             0.13026131576E+01             0.86038752700E-01
 56.40             0.13631781327E+01             0.87129332410E-01
 56.50             0.14107169763E+01             0.87348618797E-01
 56.60             0.14446240385E+01             0.86694418995E-01
 56.70             0.14644239310E+01             0.85173275004E-01
 56.80             0.14697775831E+01             0.82800398262E-01
 56.90             0.14604869958E+01             0.79599517538E-01
 57.00             0.14364986328E+01             0.75602641638E-01
 57.10             0.13979053998E+01             0.70849739322E-01
 57.20             0.13449471804E+01             0.65388339613E-01
 57.30             0.12780099071E+01             0.59273056508E-01
 57.40             0.11976231619E+01             0.52565042838E-01
 57.50             0.11044563177E+01             0.45331378739E-01
 57.60             0.99931324187E+00             0.37644400853E-01
 57.70             0.88312560286E+00             0.29580978958E-01
 57.80             0.75694483142E+00             0.21221747274E-01
 57.90             0.62193280396E+00             0.12650298117E-01
 58.00             0.47935132818E+00             0.39523459785E-02
 58.10             0.33055052436E+00            -0.47851296195E-02
 58.20             0.17695620726E+00            -0.13474753921E-01
 58.30             0.20056384922E-01            -0.22029630684E-01
 58.40            -0.13861299949E+00            -0.30364211139E-01
 58.50            -0.29748294776E+00            -0.38395149484E-01
 58.60            -0.45496676603E+00            -0.46042136333E-01
 58.70            -0.60947575482E+00            -0.53228701819E-01
 58.80            -0.75943507595E+00            -0.59882980287E-01
 58.90            -0.90329963953E+00            -0.65938428952E-01
 59.00            -0.10395698524E+01            -0.71334493328E-01
 59.10            -0.11668070688E+01            -0.76017212770E-01
 59.20            -0.12836485867E+01            -0.79939760085E-01
 59.30            -0.13888220339E+01            -0.83062909799E-01
 59.40            -0.14811589953E+01            -0.85355430414E-01
 59.50            -0.15596077363E+01            -0.86794396726E-01
 59.60            -0.16232448873E+01            -0.87365419070E-01
 59.70            -0.16712859610E+01            -0.87062787224E-01
 59.80            -0.17030945858E+01            -0.85889527505E-01
 59.90            -0.17181903511E+01            -0.83857372512E-01
 60.00            -0.17162551704E+01            -0.80986643793E-01
 60.10            -0.16971380863E+01            -0.77306048636E-01
 60.20            -0.16608584504E+01            -0.72852392993E-01
 60.30            -0.16076074337E+01            -0.67670213420E-01
 60.40            -0.15377478324E+01            -0.61811331713E-01
 60.50            -0.14518121569E+01            -0.55334336688E-01
 60.60            -0.13504990030E+01            -0.48303998297E-01
 60.70            -0.12346677275E+01            -0.40790619923E-01
 60.80            -0.11053314620E+01            -0.32869335350E-01
 60.90            -0.96364851928E+00            -0.24619357423E-01
 61.00            -0.81091226190E+00            -0.16123185922E-01
 61.10            -0.64853951932E+00            -0.74657825613E-02
 61.20            -0.47805765413E+00             0.12662786247E-02
 61.30            -0.30109039374E+00             0.99856770244E-02
 61.40            -0.11934255681E+00             0.18605218654E-01
 61.50             0.65416184054E-01             0.27038708097E-01
 61.60             0.25136835049E+00             0.35201810459E-01
 61.70             0.43666635508E+00             0.43012894716E-01
 61.80             0.61945067617E+00             0.50393850026E-01
 61.90             0.79786833371E+00             0.57270866836E-01
 62.00             0.97009148449E+00             0.63575174978E-01
 62.10             0.11343359519E+01             0.69243731370E-01
 62.20             0.12888795045E+01             0.74219850448E-01
 62.30             0.14320796976E+01             0.78453771021E-01
 62.40             0.15623910956E+01             0.81903153885E-01
 62.50             0.16783816967E+01             0.84533505209E-01
 62.60             0.17787483868E+01             0.86318521482E-01
 62.70             0.18623312599E+01             0.87240352540E-01
 62.80             0.19281266492E+01             0.87289780072E-01
 62.90             0.19752987258E+01             0.86466309803E-01
 63.00             0.20031895360E+01             0.84778176437E-01
 63.10             0.20113273589E+01             0.82242261306E-01
 63.20             0.19994332865E+01             0.78883923562E-01
 63.30             0.19674259404E+01             0.74736746583E-01
 63.40             0.19154242615E+01             0.69842202137E-01
 63.50             0.18437483232E+01             0.64249235670E-01
 63.60             0.17529181423E+01             0.58013776847E-01
 63.70             0.16436504782E+01             0.51198180255E-01
 63.80             0.15168536326E+01             0.43870601861E-01
 63.90             0.13736202822E+01             0.36104317448E-01
 64.00             0.12152183956E+01             0.27976989860E-01
 64.10             0.10430803060E+01             0.19569892374E-01
 64.20             0.85879003259E+00             0.10967095964E-01
 64.30             0.66406895606E+00             0.22546285945E-02
 64.40             0.46075997922E+00            -0.64803850610E-02
 64.50             0.25081031281E+00            -0.15150594866E-01
 64.60             0.36253046609E-01            -0.23669298722E-01
 64.70            -0.18081232272E+00            -0.31951309591E-01
 64.80            -0.39824022251E+00            -0.39913807364E-01
 64.90            -0.61385999908E+00            -0.47477167064E-01
 65.00            -0.82549737342E+00            -0.54565755092E-01
 65.10            -0.10309961478E+01            -0.61108685570E-01
 65.20            -0.12282399484E+01            -0.67040529192E-01
 65.30            -0.14151737875E+01            -0.72301967523E-01
 65.40            -0.15898252272E+01            -0.76840386178E-01
 65.50            -0.17503249290E+01            -0.80610400971E-01
 65.60            -0.18949263785E+01            -0.83574311754E-01
 65.70            -0.20220245787E+01            -0.85702479420E-01
 65.80            -0.21301735151E+01            -0.86973622292E-01
 65.90            -0.22181022058E+01            -0.87375028941E-01
 66.00            -0.22847291613E+01            -0.86902685301E-01
 66.10            -0.23291750947E+01            -0.85561314807E-01
 66.20            -0.23507737365E+01            -0.83364331165E-01
 66.30            -0.23490806274E+01            -0.80333704212E-01
 66.40            -0.23238797809E+01            -0.76499740217E-01
 66.50            -0.22751881282E+01            -0.71900778819E-01
 66.60            -0.22032576776E+01            -0.66582809633E-01
 66.70            -0.21085753457E+01            -0.60599012351E-01
 66.80            -0.19918604371E+01            -0.54009224946E-01
 66.90            -0.18540597750E+01            -0.46879345291E-01
 67.00            -0.16963405086E+01            -0.39280672183E-01
 67.10            -0.15200806444E+01            -0.31289192353E-01
 67.20            -0.13268573751E+01            -0.22984820600E-01
 67.30            -0.11184332993E+01            -0.14450600640E-01
 67.40            -0.89674064985E+00            -0.57718746745E-02
 67.50            -0.66386366737E+00             0.29645700379E-02
 67.60            -0.42201927839E+00             0.11671369050E-01
 67.70            -0.17353625274E+00             0.20261454372E-01
 67.80             0.79166965701E-01             0.28648925149E-01
 67.90             0.33360554666E+00             0.36749906676E-01
 68.00             0.58725245797E+00             0.44483389135E-01
 68.10             0.83756331381E+00             0.51772037704E-01
 68.20             0.10820016451E+01             0.58542965895E-01
 68.30             0.13180643432E+01             0.64728464427E-01
 68.40             0.15433070249E+01             0.70266678315E-01
 68.50             0.17553690631E+01             0.75102225420E-01
 68.60             0.19519980311E+01             0.79186750271E-01
 68.70             0.21310733085E+01             0.82479407619E-01
 68.80             0.22906286055E+01             0.84947270890E-01
 68.90             0.24288731695E+01             0.86565661453E-01
 69.00             0.25442114474E+01             0.87318395402E-01
 69.10             0.26352609936E+01             0.87197945396E-01
 69.20             0.27008684253E+01             0.86205515936E-01
 69.30             0.27401232471E+01             0.84351031317E-01
 69.40             0.27523693847E+01             0.81653036385E-01
 69.50             0.27372142898E+01             0.78138511089E-01
 69.60             0.26945355010E+01             0.73842600682E-01
 69.70             0.26244845693E+01             0.68808264268E-01
 69.80             0.25274882827E+01             0.63085845212E-01
 69.90             0.24042471503E+01             0.56732567703E-01
 70.00             0.22557311351E+01             0.49811964518E-01
 70.10             0.20831726484E+01             0.42393241687E-01
 70.20             0.18880568504E+01             0.34550586439E-01
 70.30             0.16721093258E+01             0.26362425327E-01
 70.40             0.14372812328E+01             0.17910639962E-01
 70.50             0.11857320465E+01             0.92797481971E-02
 70.60             0.91981004787E+00             0.55605895018E-03
 70.70             0.64203072878E+00            -0.81731908862E-02
 70.80             0.35505330922E+00            -0.16820708814E-01
 70.90             0.61655582364E-01            -0.25300019653E-01
 71.00            -0.23529267758E+00            -0.33526330296E-01
 71.10            -0.53285749335E+00            -0.41417377636E-01
 71.20            -0.82806938234E+00            -0.48894251199E-01
 71.30            -0.11179526964E+01            -0.55882182251E-01
 71.40            -0.13995553166E+01            -0.62311291480E-01
 71.50            -0.16699784099E+01            -0.68117287794E-01
 71.60            -0.19264059500E+01            -0.73242111231E-01
 71.70            -0.21661337060E+01            -0.77634513555E-01
 71.80            -0.23865974025E+01            -0.81250570743E-01
 71.90            -0.25853997620E+01            -0.84054122224E-01
 72.00            -0.27603361474E+01            -0.86017132483E-01
 72.10            -0.29094185352E+01            -0.87119971417E-01
 72.20            -0.30308975615E+01            -0.87351610636E-01
 72.30            -0.31232824025E+01            -0.86709733750E-01
 72.40            -0.31853582679E+01            -0.85200759526E-01
 72.50            -0.32162013092E+01            -0.82839777706E-01
 72.60            -0.32151907679E+01            -0.79650398110E-01
 72.70            -0.31820182134E+01            -0.75664514533E-01
 72.80            -0.31166937513E+01            -0.70921985810E-01
 72.90            -0.30195491071E+01            -0.65470237229E-01
 73.00            -0.28912375253E+01            -0.59363786276E-01
 73.10            -0.27327304525E+01            -0.52663697460E-01
 73.20            -0.25453110044E+01            -0.45436971669E-01
 73.30            -0.23305642518E+01            -0.37755876162E-01
 73.40            -0.20903643891E+01            -0.29697221893E-01
 73.50            -0.18268588839E+01            -0.21341595405E-01
 73.60            -0.15424497349E+01            -0.12772552963E-01
 73.70            -0.12397719970E+01            -0.40757849917E-02
 73.80            -0.92166976173E+00             0.46617408297E-02
 73.90            -0.59116980651E+00             0.13352649243E-01
 74.00            -0.25145315367E+00             0.21910031163E-01
 74.10             0.94175197231E-01             0.30248312773E-01
 74.20             0.44231807967E+00             0.38284111254E-01
 74.30             0.78951921014E+00             0.45937068623E-01
 74.40             0.11322971598E+01             0.53130655305E-01
 74.50             0.14671799174E+01             0.59792935435E-01
 74.60             0.17907397033E+01             0.65857286210E-01
 74.70             0.20996276901E+01             0.71263064123E-01
 74.80             0.23906082799E+01             0.75956211395E-01
 74.90             0.26605925928E+01             0.79889796553E-01
 75.00             0.29066708228E+01             0.83024483745E-01
 75.10             0.31261431270E+01             0.85328926100E-01
 75.20             0.33165487229E+01             0.86780079194E-01
 75.30             0.34756928875E+01             0.87363431496E-01
 75.40             0.36016715649E+01             0.87073149483E-01
 75.50             0.36928933135E+01             0.85912135975E-01
 75.60             0.37480983463E+01             0.83892001107E-01
 75.70             0.37663744461E+01             0.81032946229E-01
 75.80             0.37471695624E+01             0.77363561888E-01
 75.90             0.36903009342E+01             0.72920541928E-01
 76.00             0.35959606104E+01             0.67748316549E-01
 76.10             0.34647172773E+01             0.61898608004E-01
 76.20             0.32975143380E+01             0.55429913380E-01
 76.30             0.30956642260E+01             0.48406919621E-01
 76.40             0.28608389706E+01             0.40899856667E-01
 76.50             0.25950570730E+01             0.32983795145E-01
 76.60             0.23006667856E+01             0.24737895673E-01
 76.70             0.19803259275E+01             0.16244617243E-01
 76.80             0.16369784015E+01             0.75888926413E-02
 76.90             0.12738276163E+01            -0.11427208870E-02
 77.00             0.89430704708E+00            -0.98629072065E-02
 77.10             0.50204820168E+00            -0.18484464454E-01
 77.20             0.10084628581E+00            -0.26921177057E-01
 77.30            -0.30537611208E+00            -0.35088677889E-01
 77.40            -0.71260697283E+00            -0.42905291942E-01
 77.50            -0.11167840725E+01            -0.50292853076E-01
 77.60            -0.15138351024E+01            -0.57177485680E-01
 77.70            -0.18997182915E+01            -0.63490343426E-01
 77.80            -0.22704631297E+01            -0.69168297738E-01
 77.90            -0.26222107849E+01            -0.74154569073E-01
 78.00            -0.29512538089E+01            -0.78399294717E-01
 78.10            -0.32540747249E+01            -0.81860027414E-01
 78.20            -0.35273831029E+01            -0.84502159837E-01
 78.30            -0.37681507337E+01            -0.86299270661E-01
 78.40            -0.39736445334E+01            -0.87233388779E-01
 78.50            -0.41414568258E+01            -0.87295173009E-01
 78.60            -0.42695326729E+01            -0.86484005509E-01
 78.70            -0.43561939517E+01            -0.84807997953E-01
 78.80            -0.44001599037E+01            -0.82283910419E-01
 78.90            -0.44005639163E+01            -0.78936983780E-01
 79.00            -0.43569663298E+01            -0.74800687303E-01
 79.10            -0.42693631041E+01            -0.69916383953E-01
 79.20            -0.41381902152E+01            -0.64332916764E-01
 79.30            -0.39643236952E+01            -0.58106120407E-01
 79.40            -0.37490752730E+01            -0.51298262846E-01
 79.50            -0.34941836139E+01            -0.43977422657E-01
 79.60            -0.32018012021E+01            -0.36216808241E-01
 79.70            -0.28744769542E+01            -0.28094025742E-01
 79.80            -0.25151346942E+01            -0.19690302986E-01
 79.90            -0.21270476646E+01            -0.11089677201E-01
 80.00            -0.17138092882E+01            -0.23781546429E-02
 80.10            -0.12793004351E+01             0.63571494613E-02
 80.20            -0.82765348906E+00             0.15028882071E-01
 80.30            -0.36321353871E+00             0.23550325860E-01
 80.40             0.10950294653E+00             0.31836266390E-01
 80.50             0.58585156715E+00             0.39803844256E-01
 80.60             0.10611051583E+01             0.47373383680E-01
 80.70             0.15305002338E+01             0.54469189267E-01
 80.80             0.19892842577E+01             0.61020302961E-01
 80.90             0.24327632793E+01             0.66961213626E-01
 81.00             0.28563494583E+01             0.72232512154E-01
 81.10             0.32556080045E+01             0.76781485561E-01
 81.20             0.36263030561E+01             0.80562644112E-01
 81.30             0.39644420276E+01             0.83538176223E-01
 81.40             0.42663179687E+01             0.85678326570E-01
 81.50             0.45285494894E+01             0.86961693653E-01
 81.60             0.47481178304E+01             0.87375443798E-01
 81.70             0.49224006766E+01             0.86915439506E-01
 81.80             0.50492023444E+01             0.85586280819E-01
 81.90             0.51267800055E+01             0.83401259323E-01
 82.00             0.51538656432E+01             0.80382225234E-01
 82.10             0.51296834807E+01             0.76559368893E-01
 82.20             0.50539626619E+01             0.71970918863E-01
 82.30             0.49269450082E+01             0.66662759645E-01
 82.40             0.47493877280E+01             0.60687972829E-01
 82.50             0.45225609976E+01             0.54106306286E-01
 82.60             0.42482403900E+01             0.46983576680E-01
 82.70             0.39286941724E+01             0.39391011307E-01
 82.80             0.35666655508E+01             0.31404535820E-01
 82.90             0.31653499876E+01             0.23104014976E-01
 83.00             0.27283677689E+01             0.14572453982E-01
 83.10             0.22597320502E+01             0.58951684481E-02
 83.20             0.17638126539E+01            -0.28410687703E-02
 83.30             0.12452959371E+01            -0.11548895301E-01
 83.40             0.70914109377E+00            -0.20141232879E-01
 83.50             0.16053329104E+00            -0.28532158128E-01
 83.60            -0.39516592261E+00            -0.36637761795E-01
 83.70            -0.95247046918E+00            -0.44376987845E-01
 83.80            -0.15058233565E+01            -0.51672444016E-01
 83.90            -0.20496515392E+01            -0.58451175747E-01
 84.00            -0.25784214883E+01            -0.64645395721E-01
 84.10            -0.30866949220E+01            -0.70193161737E-01
 84.20            -0.35691841408E+01            -0.75038996136E-01
 84.30            -0.40208064104E+01            -0.79134440574E-01
 84.40            -0.44367368386E+01            -0.82438540606E-01
 84.50            -0.48124592026E+01            -0.84918255232E-01
 84.60            -0.51438141983E+01            -0.86548787305E-01
 84.70            -0.54270446020E+01            -0.87313831506E-01
 84.80            -0.56588368637E+01            -0.87205737391E-01
 84.90            -0.58363586794E+01            -0.86225585903E-01
 85.00            -0.59572921264E+01            -0.84383178555E-01
 85.10            -0.60198619866E+01            -0.81696939422E-01
 85.20            -0.60228589256E+01            -0.78193730895E-01
 85.30            -0.59656572447E+01            -0.73908585059E-01
 85.40            -0.58482269745E+01            -0.68884353372E-01
 85.50            -0.56711401319E+01            -0.63171278151E-01
 85.60            -0.54355710196E+01            -0.56826490149E-01
 85.70            -0.51432905059E+01            -0.49913437246E-01
 85.80            -0.47966542821E+01            -0.42501249970E-01
 85.90            -0.43985851532E+01            -0.34664050194E-01
 86.00            -0.39525494814E+01            -0.26480209916E-01
 86.10            -0.34625279582E+01            -0.18031567540E-01
 86.20            -0.29329809401E+01            -0.94026094874E-02
 86.30            -0.23688086424E+01            -0.67962534029E-03
 86.40            -0.17753065353E+01             0.80501550602E-02
 86.50            -0.11581163419E+01             0.16699433910E-01
 86.60            -0.52317308301E+00             0.25181718421E-01
 86.70             0.12335133926E+00             0.33412185747E-01
 86.80             0.77510749235E+00             0.41308531216E-01
 86.90             0.14256301320E+01             0.48791791373E-01
 87.00             0.20684016968E+01             0.55787133617E-01
 87.10             0.26969169603E+01             0.62224604524E-01
 87.20             0.33047482068E+01             0.68039829385E-01
 87.30             0.38856102837E+01             0.73174655953E-01
 87.40             0.44334248785E+01             0.77577735962E-01
 87.50             0.49423833705E+01             0.81205038610E-01
 87.60             0.54070076136E+01             0.84020290873E-01
 87.70             0.58222080231E+01             0.85995340227E-01
 87.80             0.61833383565E+01             0.87110436179E-01
 87.90             0.64862466096E+01             0.87354427769E-01
 88.00             0.67273214792E+01             0.86724875081E-01
 88.10             0.69035338826E+01             0.85228073642E-01
 88.20             0.70124730713E+01             0.82878991467E-01
 88.30             0.70523769212E+01             0.79701119378E-01
 88.40             0.70221560403E+01             0.75726236094E-01
 88.50             0.69214113902E+01             0.70994090450E-01
 88.60             0.67504451797E+01             0.65552003901E-01
 88.70             0.65102648553E+01             0.59454397313E-01
 88.80             0.62025800792E+01             0.52762246752E-01
 88.90             0.58297926544E+01             0.45542473723E-01
 89.00             0.53949794289E+01             0.37867275957E-01
 89.10             0.49018682768E+01             0.29813405432E-01
 89.20             0.43548073305E+01             0.21461400852E-01
 89.30             0.37587277013E+01             0.12894782264E-01
 89.40             0.31190999989E+01             0.41992158532E-02
 89.50             0.24418850195E+01            -0.45383427162E-02
 89.60             0.17334790400E+01            -0.13230517858E-01
 89.70             0.10006542104E+01            -0.21790387822E-01
 89.80             0.25049459036E+00            -0.30132353907E-01
 89.90            -0.50967157178E+00            -0.38172996454E-01
 90.00            -0.12723426798E+01            -0.45831909036E-01
 90.10            -0.20299170721E+01            -0.53032502527E-01
 90.20            -0.27747680377E+01            -0.59702770993E-01
 90.30            -0.34993198325E+01            -0.65776011749E-01
 90.40            -0.41961239469E+01            -0.71191492388E-01
 90.50            -0.48579348630E+01            -0.75895058103E-01
 90.60            -0.54777845396E+01            -0.79839673237E-01
 90.70            -0.60490548676E+01            -0.82985891638E-01
 90.80            -0.65655473502E+01            -0.85302251124E-01
 90.90            -0.70215492841E+01            -0.86765588097E-01
 91.00            -0.74118957446E+01            -0.87361269190E-01
 91.10            -0.77320267122E+01            -0.87083337591E-01
 91.20            -0.79780387223E+01            -0.85934572616E-01
 91.30            -0.81467304653E+01            -0.83926461915E-01
 91.40            -0.82356418211E+01            -0.81079086595E-01
 91.50            -0.82430858722E+01            -0.77420920409E-01
 91.60            -0.81681735052E+01            -0.72988545018E-01
 91.70            -0.80108302794E+01            -0.67826284178E-01
 91.80            -0.77718053185E+01            -0.61985760496E-01
 91.90            -0.74526720549E+01            -0.55525379209E-01
 92.00            -0.70558207381E+01            -0.48509744129E-01
 92.10            -0.65844427007E+01            -0.41009011609E-01
 92.20            -0.60425064560E+01            -0.33098188972E-01
 92.30            -0.54347257842E+01            -0.24856384446E-01
 92.40            -0.47665200479E+01            -0.16366016075E-01
 92.50            -0.40439670537E+01            -0.77119875431E-02
 92.60            -0.32737488591E+01             0.10191608639E-02
 92.70            -0.24630909939E+01             0.97401176623E-02
 92.80            -0.16196956401E+01             0.18363673284E-01
 92.90            -0.75166937642E+00             0.26803592173E-01
 93.00             0.13255384369E+00             0.34975475140E-01
 93.10             0.10242937576E+01             0.42797603356E-01
 93.20             0.19147081330E+01             0.50191755538E-01
 93.30             0.27948795709E+01             0.57083990165E-01
 93.40             0.36559039274E+01             0.63405384890E-01
 93.50             0.44889794882E+01             0.69092725767E-01
 93.60             0.52854960098E+01             0.74089139385E-01
 93.70             0.60371227364E+01             0.78344661610E-01
 93.80             0.67358945030E+01             0.81816737219E-01
 93.90             0.73742950422E+01             0.84470645455E-01
 94.00             0.79453366364E+01             0.86279847237E-01
 94.10             0.84426352801E+01             0.87226250547E-01
 94.20             0.88604805575E+01             0.87300391351E-01
 94.30             0.91938994821E+01             0.86501528241E-01
 94.40             0.94387136011E+01             0.84837649850E-01
 94.50             0.95915887253E+01             0.82325394959E-01
 94.60             0.96500767135E+01             0.78989886119E-01
 94.70             0.96126488144E+01             0.74864478418E-01
 94.80             0.94787201482E+01             0.69990425933E-01
 94.90             0.92486649938E+01             0.64416469188E-01
 95.00             0.89238226380E+01             0.58198347752E-01
 95.10             0.85064936322E+01             0.51398242838E-01
 95.20             0.79999264001E+01             0.44084155495E-01
 95.30             0.74082942316E+01             0.36329226598E-01
 95.40             0.67366627991E+01             0.28211005435E-01
 95.50             0.59909484243E+01             0.19810674217E-01
 95.60             0.51778674216E+01             0.11212236257E-01
 95.70             0.43048769345E+01             0.25016759349E-02
 95.80             0.33801077733E+01            -0.62339011469E-02
 95.90             0.24122898427E+01            -0.14907139217E-01
 96.00             0.14106708344E+01            -0.23431305895E-01
 96.10             0.38492892764E+00            -0.31721159514E-01
 96.20            -0.65491968745E+00            -0.39693801539E-01
 96.30            -0.16986175918E+01            -0.47269505547E-01
 96.40            -0.27357662993E+01            -0.54372514500E-01
 96.50            -0.37559288309E+01            -0.60931798309E-01
 96.60            -0.47487336995E+01            -0.66881764134E-01
 96.70            -0.57039792797E+01            -0.72162912317E-01
 96.80            -0.66117375230E+01            -0.76722431378E-01
 96.90            -0.74624559735E+01            -0.80514726125E-01
 97.00            -0.82470570488E+01            -0.83501873610E-01
 97.10            -0.89570335643E+01            -0.85654002360E-01
 97.20            -0.95845395093E+01            -0.86949591086E-01
 97.30            -0.10122475119E+02            -0.87375683901E-01
 97.40            -0.10564565333E+02            -0.86928019877E-01
 97.50            -0.10905430796E+02            -0.85611075654E-01
 97.60            -0.11140650606E+02            -0.83438020674E-01
 97.70            -0.11266816108E+02            -0.80430585488E-01
 97.80            -0.11281575103E+02            -0.76618844447E-01
 97.90            -0.11183665938E+02            -0.72040914962E-01
 98.00            -0.10972941022E+02            -0.66742576327E-01
 98.10            -0.10650379446E+02            -0.60776811929E-01
 98.20            -0.10218088460E+02            -0.54203279411E-01
 98.30            -0.96792936797E+01            -0.47087714099E-01
 98.40            -0.90383180146E+01            -0.39501271647E-01
 98.50            -0.83005494128E+01            -0.31519816477E-01
 98.60            -0.74723976309E+01            -0.23223163144E-01
 98.70            -0.65612403548E+01            -0.14694278178E-01
 98.80            -0.55753591024E+01            -0.60184504310E-02
 98.90            -0.45238654465E+01             0.27175618205E-02
 99.00            -0.34166181995E+01             0.11426398454E-01
 99.10            -0.22641322981E+01             0.20020971102E-01
 99.20            -0.10774802146E+01             0.28415334040E-01
 99.30             0.13181319178E+00             0.36525543637E-01
 99.40             0.13518814003E+01             0.44270497798E-01
 99.50             0.25706314770E+01             0.51572746981E-01
 99.60             0.37758627396E+01             0.58359268694E-01
 99.70             0.49553876875E+01             0.64562197721E-01
 99.80             0.60971540079E+01             0.70119504770E-01
 99.90             0.71893664515E+01             0.74975616771E-01
100.00             0.82206073550E+01             0.79081972604E-01
