  0.10             0.36573128963E+00             0.35845399470E+00
  0.20             0.35856822624E+00             0.34430248117E+00
  0.30             0.34442115737E+00             0.32380331724E+00
  0.40             0.32379238757E+00             0.29777441956E+00
  0.50             0.29745498775E+00             0.26725434114E+00
  0.60             0.26642724501E+00             0.23346083311E+00
  0.70             0.23193676577E+00             0.19774225644E+00
  0.80             0.19537546379E+00             0.16152378235E+00
  0.90             0.15824705474E+00             0.12625052795E+00
  1.00             0.12210901229E+00             0.93329896084E-01
  1.10             0.88511201854E-01             0.64075419969E-01
  1.20             0.58933586067E-01             0.39654353201E-01
  1.30             0.34725481339E-01             0.21041096345E-01
  1.40             0.17048832419E-01             0.89783183488E-02
  1.50             0.68278604959E-02             0.39473240543E-02
  1.60             0.47072320105E-02             0.61488501340E-02
  1.70             0.11020596890E-01             0.15495055697E-01
  1.80             0.25770966248E-01             0.31613027143E-01
  1.90             0.48623954383E-01             0.53859657409E-01
  2.00             0.78914414628E-01             0.81347305948E-01
  2.10             0.11566647219E+00             0.11297921558E+00
  2.20             0.15762641995E+00             0.14749327312E+00
  2.30             0.20330741657E+00             0.18351236767E+00
  2.40             0.25104443192E+00             0.21959933735E+00
  2.50             0.29905744222E+00             0.25431431207E+00
  2.60             0.34552050691E+00             0.28627216435E+00
  2.70             0.38863407513E+00             0.31419777587E+00
  2.80             0.42669768761E+00             0.33697691474E+00
  2.90             0.45818016625E+00             0.35370069331E+00
  3.00             0.48178442652E+00             0.36370183283E+00
  3.10             0.49650420548E+00             0.36658128782E+00
  3.20             0.50167026820E+00             0.36222416803E+00
  3.30             0.49698402822E+00             0.35080432254E+00
  3.40             0.48253698086E+00             0.33277740318E+00
  3.50             0.45881488492E+00             0.30886268404E+00
  3.60             0.42668621870E+00             0.28001436242E+00
  3.70             0.38737505684E+00             0.24738348633E+00
  3.80             0.34241914286E+00             0.21227202775E+00
  3.90             0.29361454081E+00             0.17608093386E+00
  4.00             0.24294881593E+00             0.14025422932E+00
  4.10             0.19252519316E+00             0.10622139963E+00
  4.20             0.14448055331E+00             0.75340354694E-01
  4.30             0.10090043160E+00             0.48843248215E-01
  4.40             0.63734366564E-01             0.27787314735E-01
  4.50             0.34715001199E-01             0.13012686002E-01
  4.60             0.15284255576E-01             0.51088697014E-02
  4.70             0.65296736560E-02             0.43912281037E-02
  4.80             0.91337012688E-02             0.10888395109E-01
  4.90             0.23338189124E-01             0.24341133753E-01
  5.00             0.48925850316E-01             0.44212679764E-01
  5.10             0.85219756660E-01             0.69710158457E-01
  5.20             0.13110125664E+00             0.99816220432E-01
  5.30             0.18504596672E+00             0.13332963381E+00
  5.40             0.24517675607E+00             0.16891321341E+00
  5.50             0.30933194157E+00             0.20514717440E+00
  5.60             0.37514626419E+00             0.24058578173E+00
  5.70             0.44014165656E+00             0.27381503498E+00
  5.80             0.50182435859E+00             0.30350908693E+00
  5.90             0.55778461469E+00             0.32848314492E+00
  6.00             0.60579500633E+00             0.34774074403E+00
  6.10             0.64390344947E+00             0.36051350606E+00
  6.20             0.67051702063E+00             0.36629179780E+00
  6.30             0.68447306543E+00             0.36484506541E+00
  6.40             0.68509448293E+00             0.35623103352E+00
  6.50             0.67222665054E+00             0.34079340199E+00
  6.60             0.64625413991E+00             0.31914813233E+00
  6.70             0.60809614721E+00             0.29215887079E+00
  6.80             0.55918039332E+00             0.26090248891E+00
  6.90             0.50139610768E+00             0.22662611633E+00
  7.00             0.43702756074E+00             0.19069738031E+00
  7.10             0.36867041945E+00             0.15454983742E+00
  7.20             0.29913393461E+00             0.11962577462E+00
  7.30             0.23133259765E+00             0.87318662017E-01
  7.40             0.16817139967E+00             0.58917553404E-01
  7.50             0.11242916533E+00             0.35555653014E-01
