   t         Omega F_0 0       Omega F_0 0.5       Omega F_0 1.2
 21.72  -0.39526642331E-02   0.14188286369E+00  -0.59475112105E-01
 21.75  -0.38602745919E-02   0.13141220997E+00  -0.54925406226E-01
 21.78  -0.37657965506E-02   0.12091069071E+00  -0.50706634870E-01
 21.81  -0.36693464658E-02   0.11037979670E+00  -0.46827085865E-01
 21.84  -0.35710407236E-02   0.99820983621E-01  -0.43294831313E-01
 21.87  -0.34709956344E-02   0.89235679892E-01  -0.40117722547E-01
 21.90  -0.33693273296E-02   0.78625294624E-01  -0.37303385502E-01
 21.93  -0.32661516591E-02   0.67991225585E-01  -0.34859216482E-01
 21.96  -0.31615840920E-02   0.57334867193E-01  -0.32792378293E-01
 21.99  -0.30557396178E-02   0.46657618487E-01  -0.31109796703E-01
 22.02  -0.29487326506E-02   0.35960891084E-01  -0.29818157221E-01
 22.05  -0.28406769342E-02   0.25246117087E-01  -0.28923902129E-01
 22.08  -0.27316854504E-02   0.14514756925E-01  -0.28433227757E-01
 22.11  -0.26218703281E-02   0.37683071237E-02  -0.28352081948E-01
 22.14  -0.25113427558E-02  -0.69916920390E-02  -0.28686161672E-01
 22.17  -0.24002128952E-02  -0.17763648986E-01  -0.29440910760E-01
 22.20  -0.22885897976E-02  -0.28545913433E-01  -0.30621517687E-01
 22.23  -0.21765813224E-02  -0.39336769139E-01  -0.32232913395E-01
 22.26  -0.20642940578E-02  -0.50134426823E-01  -0.34279769071E-01
 22.29  -0.19518332442E-02  -0.60937017276E-01  -0.36766493860E-01
 22.32  -0.18393026995E-02  -0.71742584683E-01  -0.39697232448E-01
 22.35  -0.17268047471E-02  -0.82549080173E-01  -0.43075862472E-01
 22.38  -0.16144401460E-02  -0.93354355606E-01  -0.46905991703E-01
 22.41  -0.15023080240E-02  -0.10415615764E+00  -0.51190954952E-01
 22.44  -0.13905058124E-02  -0.11495212207E+00  -0.55933810641E-01
 22.47  -0.12791291845E-02  -0.12573976847E+00  -0.61137337006E-01
 22.50  -0.11682719949E-02  -0.13651649516E+00  -0.66804027849E-01
 22.53  -0.10580262234E-02  -0.14727957453E+00  -0.72936087821E-01
 22.56  -0.94848191949E-03  -0.15802614867E+00  -0.79535427162E-01
 22.59  -0.83972715058E-03  -0.16875322546E+00  -0.86603655855E-01
 22.62  -0.73184795255E-03  -0.17945767499E+00  -0.94142077151E-01
 22.65  -0.62492828268E-03  -0.19013622643E+00  -0.10215168040E+00
 22.68  -0.51904997529E-03  -0.20078546534E+00  -0.11063313317E+00
 22.71  -0.41429269997E-03  -0.21140183141E+00  -0.11958677258E+00
 22.74  -0.31073392230E-03  -0.22198161672E+00  -0.12901259581E+00
 22.77  -0.20844886724E-03  -0.23252096448E+00  -0.13891024980E+00
 22.80  -0.10751048502E-03  -0.24301586824E+00  -0.14927901998E+00
 22.83  -0.79894196149E-05  -0.25346217171E+00  -0.16011781817E+00
 22.86   0.90046020249E-04  -0.26385556906E+00  -0.17142516943E+00
 22.89   0.18652988753E-03  -0.27419160581E+00  -0.18319919801E+00
 22.92   0.28139862079E-03  -0.28446568033E+00  -0.19543761228E+00
 22.95   0.37459106563E-03  -0.29467304590E+00  -0.20813768862E+00
 22.98   0.46604849362E-03  -0.30480881338E+00  -0.22129625432E+00
 23.01   0.55571461872E-03  -0.31486795451E+00  -0.23490966943E+00
 23.04   0.64353561138E-03  -0.32484530585E+00  -0.24897380767E+00
 23.07   0.72946011005E-03  -0.33473557335E+00  -0.26348403623E+00
 23.10   0.81343923045E-03  -0.34453333752E+00  -0.27843519469E+00
 23.13   0.89542657237E-03  -0.35423305938E+00  -0.29382157295E+00
 23.16   0.97537822419E-03  -0.36382908690E+00  -0.30963688831E+00
 23.19   0.10532527650E-02  -0.37331566218E+00  -0.32587426168E+00
 23.22   0.11290112648E-02  -0.38268692931E+00  -0.34252619304E+00
 23.25   0.12026172815E-02  -0.39193694275E+00  -0.35958453625E+00
 23.28   0.12740368573E-02  -0.40105967648E+00  -0.37704047329E+00
 23.31   0.13432385114E-02  -0.41004903366E+00  -0.39488448801E+00
 23.34   0.14101932311E-02  -0.41889885697E+00  -0.41310633963E+00
 23.37   0.14748744614E-02  -0.42760293948E+00  -0.43169503607E+00
 23.40   0.15372580916E-02  -0.43615503611E+00  -0.45063880728E+00
 23.43   0.15973224405E-02  -0.44454887561E+00  -0.46992507886E+00
 23.46   0.16550482393E-02  -0.45277817305E+00  -0.48954044608E+00
 23.49   0.17104186132E-02  -0.46083664279E+00  -0.50947064864E+00
 23.52   0.17634190601E-02  -0.46871801182E+00  -0.52970054635E+00
 23.55   0.18140374285E-02  -0.47641603362E+00  -0.55021409615E+00
 23.58   0.18622638930E-02  -0.48392450219E+00  -0.57099433066E+00
 23.61   0.19080909281E-02  -0.49123726654E+00  -0.59202333865E+00
 23.64   0.19515132810E-02  -0.49834824529E+00  -0.61328224790E+00
 23.67   0.19925279416E-02  -0.50525144155E+00  -0.63475121059E+00
 23.70   0.20311341119E-02  -0.51194095788E+00  -0.65640939198E+00
 23.73   0.20673331736E-02  -0.51841101134E+00  -0.67823496245E+00
 23.76   0.21011286540E-02  -0.52465594852E+00  -0.70020509360E+00
 23.79   0.21325261907E-02  -0.53067026052E+00  -0.72229595884E+00
 23.82   0.21615334948E-02  -0.53644859781E+00  -0.74448273876E+00
 23.85   0.21881603131E-02  -0.54198578487E+00  -0.76673963197E+00
 23.88   0.22124183886E-02  -0.54727683458E+00  -0.78903987181E+00
 23.91   0.22343214199E-02  -0.55231696227E+00  -0.81135574931E+00
 23.94   0.22538850196E-02  -0.55710159931E+00  -0.83365864299E+00
 23.97   0.22711266720E-02  -0.56162640633E+00  -0.85591905583E+00
 24.00   0.22860656883E-02  -0.56588728575E+00  -0.87810665983E+00
 24.03   0.22987231630E-02  -0.56988039382E+00  -0.90019034855E+00
 24.06   0.23091219271E-02  -0.57360215191E+00  -0.92213829792E+00
 24.09   0.23172865022E-02  -0.57704925709E+00  -0.94391803550E+00
 24.12   0.23232430529E-02  -0.58021869184E+00  -0.96549651850E+00
 24.15   0.23270193384E-02  -0.58310773302E+00  -0.98684022057E+00
 24.18   0.23286446638E-02  -0.58571395984E+00  -0.10079152273E+01
 24.21   0.23281498306E-02  -0.58803526088E+00  -0.10286873406E+01
 24.24   0.23255670864E-02  -0.59006984015E+00  -0.10491221912E+01
 24.27   0.23209300741E-02  -0.59181622211E+00  -0.10691853600E+01
 24.30   0.23142737809E-02  -0.59327325558E+00  -0.10888425060E+01
 24.33   0.23056344866E-02  -0.59444011661E+00  -0.11080595029E+01
 24.36   0.22950497113E-02  -0.59531631023E+00  -0.11268025805E+01
 24.39   0.22825581636E-02  -0.59590167106E+00  -0.11450384733E+01
 24.42   0.22681996872E-02  -0.59619636282E+00  -0.11627345721E+01
 24.45   0.22520152087E-02  -0.59620087671E+00  -0.11798590805E+01
 24.48   0.22340466839E-02  -0.59591602866E+00  -0.11963811732E+01
 24.51   0.22143370453E-02  -0.59534295547E+00  -0.12122711547E+01
 24.54   0.21929301481E-02  -0.59448310996E+00  -0.12275006186E+01
 24.57   0.21698707173E-02  -0.59333825491E+00  -0.12420426043E+01
 24.60   0.21452042944E-02  -0.59191045613E+00  -0.12558717505E+01
 24.63   0.21189771841E-02  -0.59020207449E+00  -0.12689644431E+01
 24.66   0.20912364010E-02  -0.58821575697E+00  -0.12812989573E+01
 24.69   0.20620296169E-02  -0.58595442693E+00  -0.12928555905E+01
 24.72   0.20314051079E-02  -0.58342127348E+00  -0.13036167862E+01
 24.75   0.19994117019E-02  -0.58061974009E+00  -0.13135672456E+01
 24.78   0.19660987265E-02  -0.57755351248E+00  -0.13226940272E+01
 24.81   0.19315159569E-02  -0.57422650595E+00  -0.13309866325E+01
 24.84   0.18957135645E-02  -0.57064285202E+00  -0.13384370754E+01
 24.87   0.18587420658E-02  -0.56680688466E+00  -0.13450399371E+01
 24.90   0.18206522718E-02  -0.56272312605E+00  -0.13507924028E+01
 24.93   0.17814952379E-02  -0.55839627200E+00  -0.13556942815E+01
 24.96   0.17413222138E-02  -0.55383117710E+00  -0.13597480079E+01
 24.99   0.17001845953E-02  -0.54903283958E+00  -0.13629586263E+01
 25.02   0.16581338752E-02  -0.54400638622E+00  -0.13653337564E+01
 25.05   0.16152215956E-02  -0.53875705697E+00  -0.13668835422E+01
 25.08   0.15714993010E-02  -0.53329018978E+00  -0.13676205829E+01
 25.11   0.15270184919E-02  -0.52761120536E+00  -0.13675598485E+01
 25.14   0.14818305785E-02  -0.52172559220E+00  -0.13667185796E+01
 25.17   0.14359868368E-02  -0.51563889171E+00  -0.13651161728E+01
 25.20   0.13895383634E-02  -0.50935668371E+00  -0.13627740544E+01
 25.23   0.13425360331E-02  -0.50288457216E+00  -0.13597155409E+01
 25.26   0.12950304558E-02  -0.49622817136E+00  -0.13559656911E+01
 25.29   0.12470719352E-02  -0.48939309250E+00  -0.13515511494E+01
 25.32   0.11987104282E-02  -0.48238493077E+00  -0.13464999823E+01
 25.35   0.11499955050E-02  -0.47520925293E+00  -0.13408415103E+01
 25.38   0.11009763103E-02  -0.46787158546E+00  -0.13346061364E+01
 25.41   0.10517015253E-02  -0.46037740327E+00  -0.13278251734E+01
 25.44   0.10022193314E-02  -0.45273211911E+00  -0.13205306707E+01
 25.47   0.95257737350E-03  -0.44494107354E+00  -0.13127552432E+01
 25.50   0.90282272595E-03  -0.43700952561E+00  -0.13045319033E+01
 25.53   0.85300185825E-03  -0.42894264422E+00  -0.12958938967E+01
 25.56   0.80316060246E-03  -0.42074550017E+00  -0.12868745446E+01
 25.59   0.75334412153E-03  -0.41242305892E+00  -0.12775070919E+01
 25.62   0.70359687865E-03  -0.40398017409E+00  -0.12678245637E+01
 25.65   0.65396260775E-03  -0.39542158160E+00  -0.12578596292E+01
 25.68   0.60448428508E-03  -0.38675189462E+00  -0.12476444761E+01
 25.71   0.55520410187E-03  -0.37797559917E+00  -0.12372106931E+01
 25.74   0.50616343817E-03  -0.36909705039E+00  -0.12265891632E+01
 25.77   0.45740283776E-03  -0.36012046964E+00  -0.12158099673E+01
 25.80   0.40896198419E-03  -0.35104994210E+00  -0.12049022972E+01
 25.83   0.36087967799E-03  -0.34188941518E+00  -0.11938943797E+01
 25.86   0.31319381500E-03  -0.33264269749E+00  -0.11828134107E+01
 25.89   0.26594136580E-03  -0.32331345853E+00  -0.11716854988E+01
 25.92   0.21915835635E-03  -0.31390522886E+00  -0.11605356193E+01
 25.95   0.17287984973E-03  -0.30442140104E+00  -0.11493875764E+01
 25.98   0.12713992900E-03  -0.29486523095E+00  -0.11382639757E+01
 26.01   0.81971681262E-04  -0.28523983982E+00  -0.11271862036E+01
 26.04   0.37407182804E-04  -0.27554821665E+00  -0.11161744158E+01
 26.07  -0.65225146054E-05  -0.26579322124E+00  -0.11052475324E+01
 26.10  -0.49787396297E-04  -0.25597758760E+00  -0.10944232400E+01
 26.13  -0.92358496153E-04  -0.24610392786E+00  -0.10837180001E+01
 26.16  -0.13420790695E-03  -0.23617473660E+00  -0.10731470629E+01
 26.19  -0.17530878960E-03  -0.22619239553E+00  -0.10627244864E+01
 26.22  -0.21563538125E-03  -0.21615917861E+00  -0.10524631598E+01
 26.25  -0.25516300239E-03  -0.20607725746E+00  -0.10423748309E+01
 26.28  -0.29386806274E-03  -0.19594870709E+00  -0.10324701371E+01
 26.31  -0.33172806619E-03  -0.18577551199E+00  -0.10227586392E+01
 26.34  -0.36872161463E-03  -0.17555957236E+00  -0.10132488574E+01
 26.37  -0.40482841071E-03  -0.16530271074E+00  -0.10039483096E+01
 26.40  -0.44002925962E-03  -0.15500667874E+00  -0.99486355131E+00
 26.43  -0.47430606984E-03  -0.14467316404E+00  -0.98600021655E+00
 26.46  -0.50764185284E-03  -0.13430379749E+00  -0.97736305953E+00
 26.49  -0.54002072183E-03  -0.12390016048E+00  -0.96895599704E+00
 26.52  -0.57142788956E-03  -0.11346379228E+00  -0.96078215082E+00
 26.55  -0.60184966512E-03  -0.10299619765E+00  -0.95284388998E+00
 26.58  -0.63127344980E-03  -0.92498854422E-01  -0.94514287300E+00
 26.61  -0.65968773206E-03  -0.81973221195E-01  -0.93768008922E+00
 26.64  -0.68708208160E-03  -0.71420745076E-01  -0.93045589961E+00
 26.67  -0.71344714249E-03  -0.60842869434E-01  -0.92347007665E+00
 26.70  -0.73877462551E-03  -0.50241041669E-01  -0.91672184305E+00
 26.73  -0.76305729959E-03  -0.39616720966E-01  -0.91020990951E+00
 26.76  -0.78628898246E-03  -0.28971386014E-01  -0.90393251101E+00
 26.79  -0.80846453046E-03  -0.18306542683E-01  -0.89788744192E+00
 26.82  -0.82957982763E-03  -0.76237316210E-02  -0.89207208955E+00
 26.85  -0.84963177394E-03   0.30754642287E-02  -0.88648346640E+00
 26.88  -0.86861827289E-03   0.13789412216E-01  -0.88111824077E+00
 26.91  -0.88653821835E-03   0.24516422700E-01  -0.87597276592E+00
 26.94  -0.90339148063E-03   0.35254741905E-01  -0.87104310770E+00
 26.97  -0.91917889205E-03   0.46002544936E-01  -0.86632507066E+00
 27.00  -0.93390223169E-03   0.56757928974E-01  -0.86181422255E+00
 27.03  -0.94756420958E-03   0.67518906666E-01  -0.85750591745E+00
 27.06  -0.96016845038E-03   0.78283399734E-01  -0.85339531732E+00
 27.09  -0.97171947628E-03   0.89049232813E-01  -0.84947741209E+00
 27.12  -0.98222268959E-03   0.99814127545E-01  -0.84574703838E+00
 27.15  -0.99168435458E-03   0.11057569694E+00  -0.84219889683E+00
 27.18  -0.10001115789E-02   0.12133144004E+00  -0.83882756803E+00
 27.21  -0.10075122948E-02   0.13207873686E+00  -0.83562752723E+00
 27.24  -0.10138952391E-02   0.14281484371E+00  -0.83259315775E+00
 27.27  -0.10192699337E-02   0.15353688883E+00  -0.82971876323E+00
 27.30  -0.10236466652E-02   0.16424186836E+00  -0.82699857870E+00
 27.33  -0.10270364639E-02   0.17492664279E+00  -0.82442678059E+00
 27.36  -0.10294510830E-02   0.18558793375E+00  -0.82199749569E+00
 27.39  -0.10309029769E-02   0.19622232120E+00  -0.81970480907E+00
 27.42  -0.10314052799E-02   0.20682624116E+00  -0.81754277122E+00
 27.45  -0.10309717838E-02   0.21739598382E+00  -0.81550540412E+00
 27.48  -0.10296169156E-02   0.22792769220E+00  -0.81358670667E+00
 27.51  -0.10273557152E-02   0.23841736121E+00  -0.81178065921E+00
 27.54  -0.10242038129E-02   0.24886083739E+00  -0.81008122744E+00
 27.57  -0.10201774057E-02   0.25925381904E+00  -0.80848236565E+00
 27.60  -0.10152932350E-02   0.26959185699E+00  -0.80697801927E+00
 27.63  -0.10095685630E-02   0.27987035590E+00  -0.80556212703E+00
 27.66  -0.10030211494E-02   0.29008457619E+00  -0.80422862244E+00
 27.69  -0.99566922802E-03   0.30022963652E+00  -0.80297143499E+00
 27.72  -0.98753148318E-03   0.31030051693E+00  -0.80178449081E+00
 27.75  -0.97862702621E-03   0.32029206254E+00  -0.80066171309E+00
 27.78  -0.96897537177E-03   0.33019898796E+00  -0.79959702218E+00
 27.81  -0.95859641433E-03   0.34001588230E+00  -0.79858433538E+00
 27.84  -0.94751040449E-03   0.34973721479E+00  -0.79761756659E+00
 27.87  -0.93573792543E-03   0.35935734110E+00  -0.79669062580E+00
 27.90  -0.92329986942E-03   0.36887051030E+00  -0.79579741848E+00
 27.93  -0.91021741438E-03   0.37827087243E+00  -0.79493184482E+00
 27.96  -0.89651200049E-03   0.38755248673E+00  -0.79408779908E+00
 27.99  -0.88220530700E-03   0.39670933053E+00  -0.79325916887E+00
 28.02  -0.86731922915E-03   0.40573530869E+00  -0.79243983455E+00
 28.05  -0.85187585515E-03   0.41462426370E+00  -0.79162366866E+00
 28.08  -0.83589744350E-03   0.42336998635E+00  -0.79080453562E+00
 28.11  -0.81940640033E-03   0.43196622695E+00  -0.78997629148E+00
 28.14  -0.80242525706E-03   0.44040670713E+00  -0.78913278399E+00
 28.17  -0.78497664821E-03   0.44868513208E+00  -0.78826785291E+00
 28.20  -0.76708328953E-03   0.45679520333E+00  -0.78737533057E+00
 28.23  -0.74876795628E-03   0.46473063195E+00  -0.78644904283E+00
 28.26  -0.73005346189E-03   0.47248515211E+00  -0.78548281036E+00
 28.29  -0.71096263682E-03   0.48005253506E+00  -0.78447045031E+00
 28.32  -0.69151830778E-03   0.48742660340E+00  -0.78340577844E+00
 28.35  -0.67174327723E-03   0.49460124555E+00  -0.78228261167E+00
 28.38  -0.65166030321E-03   0.50157043048E+00  -0.78109477110E+00
 28.41  -0.63129207957E-03   0.50832822258E+00  -0.77983608558E+00
 28.44  -0.61066121645E-03   0.51486879662E+00  -0.77850039573E+00
 28.47  -0.58979022122E-03   0.52118645266E+00  -0.77708155858E+00
 28.50  -0.56870147977E-03   0.52727563103E+00  -0.77557345269E+00
 28.53  -0.54741723814E-03   0.53313092711E+00  -0.77396998388E+00
 28.56  -0.52595958468E-03   0.53874710599E+00  -0.77226509155E+00
 28.59  -0.50435043244E-03   0.54411911681E+00  -0.77045275556E+00
 28.62  -0.48261150214E-03   0.54924210691E+00  -0.76852700372E+00
 28.65  -0.46076430549E-03   0.55411143543E+00  -0.76648191985E+00
 28.68  -0.43883012897E-03   0.55872268657E+00  -0.76431165248E+00
 28.71  -0.41683001803E-03   0.56307168233E+00  -0.76201042405E+00
 28.74  -0.39478476179E-03   0.56715449454E+00  -0.75957254077E+00
 28.77  -0.37271487816E-03   0.57096745639E+00  -0.75699240299E+00
 28.80  -0.35064059944E-03   0.57450717310E+00  -0.75426451611E+00
 28.83  -0.32858185841E-03   0.57777053192E+00  -0.75138350205E+00
 28.86  -0.30655827488E-03   0.58075471119E+00  -0.74834411113E+00
 28.89  -0.28458914269E-03   0.58345718861E+00  -0.74514123450E+00
 28.92  -0.26269341730E-03   0.58587574850E+00  -0.74176991697E+00
 28.95  -0.24088970376E-03   0.58800848812E+00  -0.73822537017E+00
 28.98  -0.21919624522E-03   0.58985382295E+00  -0.73450298617E+00
 29.01  -0.19763091198E-03   0.59141049093E+00  -0.73059835128E+00
 29.04  -0.17621119096E-03   0.59267755560E+00  -0.72650726017E+00
 29.07  -0.15495417570E-03   0.59365440822E+00  -0.72222573019E+00
 29.10  -0.13387655694E-03   0.59434076864E+00  -0.71775001580E+00
 29.13  -0.11299461359E-03   0.59473668522E+00  -0.71307662308E+00
 29.16  -0.92324204254E-04   0.59484253348E+00  -0.70820232427E+00
 29.19  -0.71880759292E-04   0.59465901373E+00  -0.70312417226E+00
 29.22  -0.51679273334E-04   0.59418714760E+00  -0.69783951495E+00
 29.25  -0.31734298329E-04   0.59342827340E+00  -0.69234600948E+00
 29.28  -0.12059937086E-04   0.59238404056E+00  -0.68664163606E+00
 29.31   0.73301626797E-05   0.59105640291E+00  -0.68072471168E+00
 29.34   0.26422813804E-04   0.58944761109E+00  -0.67459390323E+00
 29.37   0.45205294633E-04   0.58756020394E+00  -0.66824824026E+00
 29.40   0.63665353493E-04   0.58539699902E+00  -0.66168712717E+00
 29.43   0.81791212664E-04   0.58296108230E+00  -0.65491035476E+00
 29.46   0.99571571870E-04   0.58025579708E+00  -0.64791811111E+00
 29.49   0.11699561129E-03   0.57728473211E+00  -0.64071099174E+00
 29.52   0.13405299409E-03   0.57405170915E+00  -0.63329000891E+00
 29.55   0.15073386848E-03   0.57056076989E+00  -0.62565660008E+00
 29.58   0.16702886930E-03   0.56681616236E+00  -0.61781263540E+00
 29.61   0.18292911915E-03   0.56282232687E+00  -0.60976042423E+00
 29.64   0.19842622907E-03   0.55858388161E+00  -0.60150272064E+00
 29.67   0.21351229878E-03   0.55410560794E+00  -0.59304272778E+00
 29.70   0.22817991640E-03   0.54939243542E+00  -0.58438410118E+00
 29.73   0.24242215787E-03   0.54444942672E+00  -0.57553095082E+00
 29.76   0.25623258582E-03   0.53928176247E+00  -0.56648784209E+00
 29.79   0.26960524805E-03   0.53389472598E+00  -0.55725979548E+00
 29.82   0.28253467567E-03   0.52829368820E+00  -0.54785228506E+00
 29.85   0.29501588071E-03   0.52248409263E+00  -0.53827123575E+00
 29.88   0.30704435342E-03   0.51647144054E+00  -0.52852301926E+00
 29.91   0.31861605916E-03   0.51026127637E+00  -0.51861444889E+00
 29.94   0.32972743490E-03   0.50385917349E+00  -0.50855277303E+00
 29.97   0.34037538536E-03   0.49727072029E+00  -0.49834566743E+00
 30.00   0.35055727875E-03   0.49050150665E+00  -0.48800122634E+00
 30.03   0.36027094223E-03   0.48355711100E+00  -0.47752795240E+00
 30.06   0.36951465695E-03   0.47644308773E+00  -0.46693474540E+00
 30.09   0.37828715280E-03   0.46916495522E+00  -0.45623088997E+00
 30.12   0.38658760281E-03   0.46172818449E+00  -0.44542604217E+00
 30.15   0.39441561726E-03   0.45413818835E+00  -0.43453021511E+00
 30.18   0.40177123748E-03   0.44640031128E+00  -0.42355376351E+00
 30.21   0.40865492931E-03   0.43851981996E+00  -0.41250736749E+00
 30.24   0.41506757637E-03   0.43050189439E+00  -0.40140201535E+00
 30.27   0.42101047293E-03   0.42235161981E+00  -0.39024898573E+00
 30.30   0.42648531664E-03   0.41407397927E+00  -0.37905982894E+00
 30.33   0.43149420095E-03   0.40567384689E+00  -0.36784634764E+00
 30.36   0.43603960724E-03   0.39715598189E+00  -0.35662057698E+00
 30.39   0.44012439681E-03   0.38852502325E+00  -0.34539476426E+00
 30.42   0.44375180260E-03   0.37978548517E+00  -0.33418134804E+00
 30.45   0.44692542071E-03   0.37094175317E+00  -0.32299293699E+00
 30.48   0.44964920169E-03   0.36199808089E+00  -0.31184228839E+00
 30.51   0.45192744169E-03   0.35295858760E+00  -0.30074228647E+00
 30.54   0.45376477341E-03   0.34382725634E+00  -0.28970592054E+00
 30.57   0.45516615688E-03   0.33460793278E+00  -0.27874626306E+00
 30.60   0.45613687006E-03   0.32530432462E+00  -0.26787644778E+00
 30.63   0.45668249938E-03   0.31592000168E+00  -0.25710964783E+00
 30.66   0.45680893002E-03   0.30645839659E+00  -0.24645905400E+00
 30.69   0.45652233618E-03   0.29692280598E+00  -0.23593785327E+00
 30.72   0.45582917115E-03   0.28731639232E+00  -0.22555920749E+00
 30.75   0.45473615735E-03   0.27764218620E+00  -0.21533623243E+00
 30.78   0.45325027622E-03   0.26790308919E+00  -0.20528197723E+00
 30.81   0.45137875807E-03   0.25810187709E+00  -0.19540940421E+00
 30.84   0.44912907181E-03   0.24824120377E+00  -0.18573136922E+00
 30.87   0.44650891468E-03   0.23832360526E+00  -0.17626060245E+00
 30.90   0.44352620189E-03   0.22835150440E+00  -0.16700968983E+00
 30.93   0.44018905622E-03   0.21832721580E+00  -0.15799105504E+00
 30.96   0.43650579758E-03   0.20825295112E+00  -0.14921694211E+00
 30.99   0.43248493260E-03   0.19813082476E+00  -0.14069939874E+00
 31.02   0.42813514416E-03   0.18796285975E+00  -0.13245026025E+00
 31.05   0.42346528092E-03   0.17775099403E+00  -0.12448113429E+00
 31.08   0.41848434688E-03   0.16749708687E+00  -0.11680338625E+00
 31.11   0.41320149093E-03   0.15720292561E+00  -0.10942812541E+00
 31.14   0.40762599648E-03   0.14687023253E+00  -0.10236619185E+00
 31.17   0.40176727105E-03   0.13650067195E+00  -0.95628144130E-01
 31.20   0.39563483596E-03   0.12609585749E+00  -0.89224247714E-01
 31.23   0.38923831605E-03   0.11565735942E+00  -0.83164464141E-01
 31.26   0.38258742944E-03   0.10518671218E+00  -0.77458440969E-01
 31.29   0.37569197745E-03   0.94685421934E-01  -0.72115502447E-01
 31.32   0.36856183446E-03   0.84154974275E-01  -0.67144640913E-01
 31.35   0.36120693797E-03   0.73596841897E-01  -0.62554508905E-01
 31.38   0.35363727868E-03   0.63012492358E-01  -0.58353411956E-01
 31.41   0.34586289072E-03   0.52403395830E-01  -0.54549302058E-01
 31.44   0.33789384199E-03   0.41771032846E-01  -0.51149771755E-01
 31.47   0.32974022453E-03   0.31116902022E-01  -0.48162048850E-01
 31.50   0.32141214514E-03   0.20442527734E-01  -0.45592991672E-01
 31.53   0.31291971600E-03   0.97494677266E-02  -0.43449084890E-01
 31.56   0.30427304556E-03  -0.96067935488E-03  -0.41736435817E-01
 31.59   0.29548222944E-03  -0.11686266538E-01  -0.40460771166E-01
 31.62   0.28655734156E-03  -0.22425591212E-01  -0.39627434226E-01
 31.65   0.27750842539E-03  -0.33176887962E-01  -0.39241382391E-01
 31.68   0.26834548538E-03  -0.43938321547E-01  -0.39307185021E-01
 31.71   0.25907847854E-03  -0.54707980063E-01  -0.39829021561E-01
 31.74   0.24971730618E-03  -0.65483868297E-01  -0.40810679883E-01
 31.77   0.24027180583E-03  -0.76263901285E-01  -0.42255554802E-01
 31.80   0.23075174336E-03  -0.87045898108E-01  -0.44166646699E-01
 31.83   0.22116680527E-03  -0.97827575937E-01  -0.46546560215E-01
 31.86   0.21152659112E-03  -0.10860654434E+00  -0.49397502956E-01
 31.89   0.20184060626E-03  -0.11938029988E+00  -0.52721284159E-01
 31.92   0.19211825464E-03  -0.13014622101E+00  -0.56519313263E-01
 31.95   0.18236883186E-03  -0.14090156332E+00  -0.60792598343E-01
 31.98   0.17260151848E-03  -0.15164345509E+00  -0.65541744352E-01
 32.01   0.16282537344E-03  -0.16236889327E+00  -0.70766951118E-01
 32.04   0.15304932774E-03  -0.17307473973E+00  -0.76468011060E-01
 32.07   0.14328217834E-03  -0.18375771808E+00  -0.82644306577E-01
 32.10   0.13353258222E-03  -0.19441441073E+00  -0.89294807056E-01
 32.13   0.12380905072E-03  -0.20504125657E+00  -0.96418065479E-01
 32.16   0.11411994406E-03  -0.21563454897E+00  -0.10401221458E+00
 32.19   0.10447346604E-03  -0.22619043437E+00  -0.11207496253E+00
 32.22   0.94877659087E-04  -0.23670491129E+00  -0.12060358810E+00
 32.25   0.85340399343E-04  -0.24717382989E+00  -0.12959493533E+00
 32.28   0.75869392139E-04  -0.25759289211E+00  -0.13904540763E+00
 32.31   0.66472167592E-04  -0.26795765229E+00  -0.14895096132E+00
 32.34   0.57156076465E-04  -0.27826351841E+00  -0.15930709861E+00
 32.37   0.47928286238E-04  -0.28850575392E+00  -0.17010886001E+00
 32.40   0.38795777409E-04  -0.29867948011E+00  -0.18135081625E+00
 32.43   0.29765340013E-04  -0.30877967917E+00  -0.19302705949E+00
 32.46   0.20843570374E-04  -0.31880119784E+00  -0.20513119422E+00
 32.49   0.12036868067E-04  -0.32873875165E+00  -0.21765632750E+00
 32.52   0.33514331134E-05  -0.33858692989E+00  -0.23059505880E+00
 32.55  -0.52067366055E-05  -0.34834020114E+00  -0.24393946947E+00
 32.58  -0.13631847716E-04  -0.35799291950E+00  -0.25768111180E+00
 32.61  -0.21918313497E-04  -0.36753933146E+00  -0.27181099786E+00
 32.64  -0.30060755810E-04  -0.37697358337E+00  -0.28631958806E+00
 32.67  -0.38054006809E-04  -0.38628972964E+00  -0.30119677967E+00
 32.70  -0.45893110439E-04  -0.39548174149E+00  -0.31643189524E+00
 32.73  -0.53573323716E-04  -0.40454351639E+00  -0.33201367126E+00
 32.76  -0.61090117805E-04  -0.41346888803E+00  -0.34793024684E+00
 32.79  -0.68439178878E-04  -0.42225163696E+00  -0.36416915297E+00
 32.82  -0.75616408777E-04  -0.43088550176E+00  -0.38071730207E+00
 32.85  -0.82617925462E-04  -0.43936419076E+00  -0.39756097838E+00
 32.88  -0.89440063266E-04  -0.44768139427E+00  -0.41468582911E+00
 32.91  -0.96079372949E-04  -0.45583079727E+00  -0.43207685663E+00
 32.94  -0.10253262155E-03  -0.46380609265E+00  -0.44971841184E+00
 32.97  -0.10879679207E-03  -0.47160099469E+00  -0.46759418908E+00
 33.00  -0.11486908293E-03  -0.47920925307E+00  -0.48568722254E+00
