   t         Omega F_0 0       Omega F_0 0.5       Omega F_0 1.2
  2.19  -0.55892883887E+00  -0.25335488462E+00   0.19578976473E+00
  2.22  -0.54745678900E+00  -0.24163101298E+00   0.20892385498E+00
  2.25  -0.53566716463E+00  -0.22984716528E+00   0.22177806509E+00
  2.28  -0.52357620741E+00  -0.21802021437E+00   0.23433441249E+00
  2.31  -0.51120024195E+00  -0.20616688383E+00   0.24657552535E+00
  2.34  -0.49855564281E+00  -0.19430372807E+00   0.25848465658E+00
  2.37  -0.48565880250E+00  -0.18244711295E+00   0.27004569638E+00
  2.40  -0.47252610083E+00  -0.17061319728E+00   0.28124318320E+00
  2.43  -0.45917387545E+00  -0.15881791489E+00   0.29206231312E+00
  2.46  -0.44561839391E+00  -0.14707695745E+00   0.30248894765E+00
  2.49  -0.43187582720E+00  -0.13540575798E+00   0.31250961987E+00
  2.52  -0.41796222477E+00  -0.12381947515E+00   0.32211153896E+00
  2.55  -0.40389349130E+00  -0.11233297821E+00   0.33128259304E+00
  2.58  -0.38968536494E+00  -0.10096083271E+00   0.34001135027E+00
  2.61  -0.37535339728E+00  -0.89717286858E-01   0.34828705842E+00
  2.64  -0.36091293501E+00  -0.78616258627E-01   0.35609964260E+00
  2.67  -0.34637910313E+00  -0.67671323559E-01   0.36343970143E+00
  2.70  -0.33176678980E+00  -0.56895703220E-01   0.37029850158E+00
  2.73  -0.31709063285E+00  -0.46302254349E-01   0.37666797064E+00
  2.76  -0.30236500774E+00  -0.35903458659E-01   0.38254068845E+00
  2.79  -0.28760401705E+00  -0.25711413290E-01   0.38790987691E+00
  2.82  -0.27282148145E+00  -0.15737821898E-01   0.39276938832E+00
  2.85  -0.25803093194E+00  -0.59939863700E-02   0.39711369226E+00
  2.88  -0.24324560352E+00   0.35092008412E-02   0.40093786122E+00
  2.91  -0.22847842998E+00   0.12761263785E-01   0.40423755484E+00
  2.94  -0.21374203990E+00   0.21752149477E-01   0.40700900309E+00
  2.97  -0.19904875370E+00   0.30472233786E-01   0.40924898829E+00
  3.00  -0.18441058168E+00   0.38912326732E-01   0.41095482613E+00
  3.03  -0.16983922296E+00   0.47063677222E-01   0.41212434587E+00
  3.06  -0.15534606527E+00   0.54917977218E-01   0.41275586963E+00
  3.09  -0.14094218540E+00   0.62467365349E-01   0.41284819116E+00
  3.12  -0.12663835040E+00   0.69704429965E-01   0.41240055395E+00
  3.15  -0.11244501929E+00   0.76622211653E-01   0.41141262892E+00
  3.18  -0.98372345279E-01   0.83214205202E-01   0.40988449183E+00
  3.21  -0.84430178404E-01   0.89474361032E-01   0.40781660049E+00
  3.24  -0.70628068525E-01   0.95397086089E-01   0.40520977182E+00
  3.27  -0.56975268569E-01   0.10097724422E+00   0.40206515913E+00
  3.30  -0.43480738010E-01   0.10621015598E+00   0.39838422937E+00
  3.33  -0.30153146471E-01   0.11109159801E+00   0.39416874089E+00
  3.36  -0.17000877430E-01   0.11561780177E+00   0.38942072139E+00
  3.39  -0.40320319525E-02   0.11978545190E+00   0.38414244664E+00
  3.42   0.87455675917E-02   0.12359168394E+00   0.37833641961E+00
  3.45   0.21324373874E-01   0.12703408170E+00   0.37200535053E+00
  3.48   0.33697111056E-01   0.13011067400E+00   0.36515213773E+00
  3.51   0.45856771369E-01   0.13281993103E+00   0.35777984938E+00
  3.54   0.57796611881E-01   0.13516076023E+00   0.34989170641E+00
  3.57   0.69510151441E-01   0.13713250164E+00   0.34149106644E+00
  3.60   0.80991167859E-01   0.13873492294E+00   0.33258140900E+00
  3.63   0.92233695318E-01   0.13996821389E+00   0.32316632201E+00
  3.66   0.10323202204E+00   0.14083298056E+00   0.31324948965E+00
  3.69   0.11398068820E+00   0.14133023898E+00   0.30283468161E+00
  3.72   0.12447448416E+00   0.14146140852E+00   0.29192574389E+00
  3.75   0.13470844888E+00   0.14122830487E+00   0.28052659114E+00
  3.78   0.14467786869E+00   0.14063313272E+00   0.26864120049E+00
  3.81   0.15437827628E+00   0.13967847808E+00   0.25627360715E+00
  3.84   0.16380544996E+00   0.13836730036E+00   0.24342790155E+00
  3.87   0.17295541312E+00   0.13670292409E+00   0.23010822828E+00
  3.90   0.18182443399E+00   0.13468903051E+00   0.21631878666E+00
  3.93   0.19040902556E+00   0.13232964886E+00   0.20206383309E+00
  3.96   0.19870594568E+00   0.12962914748E+00   0.18734768520E+00
  3.99   0.20671219741E+00   0.12659222479E+00   0.17217472766E+00
  4.02   0.21442502941E+00   0.12322390004E+00   0.15654941990E+00
  4.05   0.22184193651E+00   0.11952950403E+00   0.14047630547E+00
  4.08   0.22896066040E+00   0.11551466967E+00   0.12396002327E+00
  4.11   0.23577919028E+00   0.11118532246E+00   0.10700532050E+00
  4.14   0.24229576370E+00   0.10654767100E+00   0.89617067408E-01
  4.17   0.24850886726E+00   0.10160819733E+00   0.71800273743E-01
  4.20   0.25441723736E+00   0.96373647455E-01   0.53560106949E-01
  4.23   0.26001986094E+00   0.90851021678E-01   0.34901912068E-01
  4.26   0.26531597601E+00   0.85047565118E-01   0.15831233311E-01
  4.29   0.27030507223E+00   0.78970758201E-01  -0.36461627290E-02
  4.32   0.27498689120E+00   0.72628307240E-01  -0.23524262260E-01
  4.35   0.27936142667E+00   0.66028135081E-01  -0.43796777916E-01
  4.38   0.28342892456E+00   0.59178371847E-01  -0.64457120879E-01
  4.41   0.28718988269E+00   0.52087345776E-01  -0.85498371547E-01
  4.44   0.29064505036E+00   0.44763574170E-01  -0.10691324884E+00
  4.47   0.29379542758E+00   0.37215754451E-01  -0.12869407820E+00
  4.50   0.29664226407E+00   0.29452755341E-01  -0.15083275835E+00
  4.53   0.29918705792E+00   0.21483608154E-01  -0.17332072703E+00
  4.56   0.30143155395E+00   0.13317498214E-01  -0.19614892562E+00
  4.59   0.30337774175E+00   0.49637563789E-02  -0.21930776301E+00
  4.62   0.30502785331E+00  -0.35681493095E-02  -0.24278707868E+00
  4.65   0.30638436037E+00  -0.12268621883E-01  -0.26657610523E+00
  4.68   0.30744997136E+00  -0.21127943597E-01  -0.29066343061E+00
  4.71   0.30822762799E+00  -0.30136283997E-01  -0.31503696004E+00
  4.74   0.30872050144E+00  -0.39283707903E-01  -0.33968387814E+00
  4.77   0.30893198823E+00  -0.48560183329E-01  -0.36459061125E+00
  4.80   0.30886570569E+00  -0.57955589357E-01  -0.38974279040E+00
  4.83   0.30852548705E+00  -0.67459723967E-01  -0.41512521513E+00
  4.86   0.30791537623E+00  -0.77062311847E-01  -0.44072181852E+00
  4.89   0.30703962223E+00  -0.86753012205E-01  -0.46651563380E+00
  4.92   0.30590267320E+00  -0.96521426586E-01  -0.49248876293E+00
  4.95   0.30450917021E+00  -0.10635710672E+00  -0.51862234750E+00
  4.98   0.30286394066E+00  -0.11624956244E+00  -0.54489654251E+00
  5.01   0.30097199150E+00  -0.12618826962E+00  -0.57129049333E+00
  5.04   0.29883850205E+00  -0.13616267822E+00  -0.59778231658E+00
  5.07   0.29646881668E+00  -0.14616222048E+00  -0.62434908515E+00
  5.10   0.29386843719E+00  -0.15617631913E+00  -0.65096681819E+00
  5.13   0.29104301499E+00  -0.16619439581E+00  -0.67761047638E+00
  5.16   0.28799834314E+00  -0.17620587959E+00  -0.70425396323E+00
  5.19   0.28474034817E+00  -0.18620021568E+00  -0.73087013285E+00
  5.22   0.28127508180E+00  -0.19616687430E+00  -0.75743080487E+00
  5.25   0.27760871251E+00  -0.20609535968E+00  -0.78390678695E+00
  5.28   0.27374751705E+00  -0.21597521932E+00  -0.81026790556E+00
  5.31   0.26969787186E+00  -0.22579605336E+00  -0.83648304536E+00
  5.34   0.26546624450E+00  -0.23554752421E+00  -0.86252019791E+00
  5.37   0.26105918496E+00  -0.24521936633E+00  -0.88834651980E+00
  5.40   0.25648331707E+00  -0.25480139617E+00  -0.91392840091E+00
  5.43   0.25174532990E+00  -0.26428352236E+00  -0.93923154279E+00
  5.46   0.24685196918E+00  -0.27365575601E+00  -0.96422104754E+00
  5.49   0.24181002886E+00  -0.28290822119E+00  -0.98886151716E+00
  5.52   0.23662634270E+00  -0.29203116558E+00  -0.10131171635E+01
  5.55   0.23130777597E+00  -0.30101497117E+00  -0.10369519282E+01
  5.58   0.22586121731E+00  -0.30985016518E+00  -0.10603296135E+01
  5.61   0.22029357072E+00  -0.31852743096E+00  -0.10832140215E+01
  5.64   0.21461174768E+00  -0.32703761899E+00  -0.11055691034E+01
  5.67   0.20882265948E+00  -0.33537175791E+00  -0.11273591166E+01
  5.70   0.20293320971E+00  -0.34352106549E+00  -0.11485487890E+01
  5.73   0.19695028696E+00  -0.35147695969E+00  -0.11691034898E+01
  5.76   0.19088075774E+00  -0.35923106943E+00  -0.11889894053E+01
  5.79   0.18473145953E+00  -0.36677524548E+00  -0.12081737180E+01
  5.82   0.17850919420E+00  -0.37410157097E+00  -0.12266247880E+01
  5.85   0.17222072152E+00  -0.38120237190E+00  -0.12443123347E+01
  5.88   0.16587275297E+00  -0.38807022721E+00  -0.12612076174E+01
  5.91   0.15947194579E+00  -0.39469797872E+00  -0.12772836119E+01
  5.94   0.15302489722E+00  -0.40107874066E+00  -0.12925151827E+01
  5.97   0.14653813906E+00  -0.40720590878E+00  -0.13068792480E+01
  6.00   0.14001813239E+00  -0.41307316914E+00  -0.13203549351E+01
  6.03   0.13347126255E+00  -0.41867450634E+00  -0.13329237252E+01
  6.06   0.12690383443E+00  -0.42400421122E+00  -0.13445695857E+01
  6.09   0.12032206788E+00  -0.42905688813E+00  -0.13552790873E+01
  6.12   0.11373209345E+00  -0.43382746142E+00  -0.13650415057E+01
  6.15   0.10713994828E+00  -0.43831118141E+00  -0.13738489051E+01
  6.18   0.10055157230E+00  -0.44250362969E+00  -0.13816962033E+01
  6.21   0.93972804554E-01  -0.44640072360E+00  -0.13885812173E+01
  6.24   0.87409379834E-01  -0.44999872012E+00  -0.13945046879E+01
  6.27   0.80866925428E-01  -0.45329421885E+00  -0.13994702836E+01
  6.30   0.74350958141E-01  -0.45628416430E+00  -0.14034845834E+01
  6.33   0.67866881472E-01  -0.45896584734E+00  -0.14065570385E+01
  6.36   0.61419982989E-01  -0.46133690577E+00  -0.14086999135E+01
  6.39   0.55015431893E-01  -0.46339532417E+00  -0.14099282070E+01
  6.42   0.48658276738E-01  -0.46513943280E+00  -0.14102595541E+01
  6.45   0.42353443334E-01  -0.46656790572E+00  -0.14097141095E+01
  6.48   0.36105732802E-01  -0.46767975803E+00  -0.14083144159E+01
