   t         Theta F_0 0       Theta F_0 0.5       Theta F_0 1.2
 25.47   0.11821998401E-02   0.57332722100E+01   0.54021302198E+01
 25.50   0.12092845219E-02   0.57201619242E+01   0.53629942627E+01
 25.53   0.12348745776E-02   0.57072936449E+01   0.53241174458E+01
 25.56   0.12589693957E-02   0.56946712799E+01   0.52855112095E+01
 25.59   0.12815697194E-02   0.56822985881E+01   0.52471859967E+01
 25.62   0.13026776258E-02   0.56701791829E+01   0.52091512598E+01
 25.65   0.13222965039E-02   0.56583165355E+01   0.51714154709E+01
 25.68   0.13404310325E-02   0.56467139786E+01   0.51339861366E+01
 25.71   0.13570871556E-02   0.56353747107E+01   0.50968698158E+01
 25.74   0.13722720587E-02   0.56243017991E+01   0.50600721409E+01
 25.77   0.13859941439E-02   0.56134981851E+01   0.50235978419E+01
 25.80   0.13982630034E-02   0.56029666868E+01   0.49874507730E+01
 25.83   0.14090893937E-02   0.55927100043E+01   0.49516339416E+01
 25.86   0.14184852082E-02   0.55827307234E+01   0.49161495393E+01
 25.89   0.14264634492E-02   0.55730313197E+01   0.48809989743E+01
 25.92   0.14330381998E-02   0.55636141628E+01   0.48461829058E+01
 25.95   0.14382245953E-02   0.55544815208E+01   0.48117012785E+01
 25.98   0.14420387932E-02   0.55456355638E+01   0.47775533592E+01
 26.01   0.14444979436E-02   0.55370783686E+01   0.47437377731E+01
 26.04   0.14456201591E-02   0.55288119221E+01   0.47102525406E+01
 26.07   0.14454244837E-02   0.55208381255E+01   0.46770951146E+01
 26.10   0.14439308618E-02   0.55131587979E+01   0.46442624174E+01
 26.13   0.14411601069E-02   0.55057756800E+01   0.46117508774E+01
 26.16   0.14371338697E-02   0.54986904379E+01   0.45795564656E+01
 26.19   0.14318746060E-02   0.54919046661E+01   0.45476747310E+01
 26.22   0.14254055446E-02   0.54854198907E+01   0.45161008362E+01
 26.25   0.14177506545E-02   0.54792375730E+01   0.44848295912E+01
 26.28   0.14089346126E-02   0.54733591118E+01   0.44538554871E+01
 26.31   0.13989827707E-02   0.54677858464E+01   0.44231727280E+01
 26.34   0.13879211222E-02   0.54625190592E+01   0.43927752622E+01
 26.37   0.13757762699E-02   0.54575599779E+01   0.43626568129E+01
 26.40   0.13625753921E-02   0.54529097776E+01   0.43328109064E+01
 26.43   0.13483462100E-02   0.54485695826E+01   0.43032308999E+01
 26.46   0.13331169544E-02   0.54445404687E+01   0.42739100081E+01
 26.49   0.13169163327E-02   0.54408234639E+01   0.42448413282E+01
 26.52   0.12997734961E-02   0.54374195501E+01   0.42160178637E+01
 26.55   0.12817180061E-02   0.54343296642E+01   0.41874325470E+01
 26.58   0.12627798026E-02   0.54315546986E+01   0.41590782608E+01
 26.61   0.12429891706E-02   0.54290955019E+01   0.41309478581E+01
 26.64   0.12223767082E-02   0.54269528796E+01   0.41030341811E+01
 26.67   0.12009732939E-02   0.54251275935E+01   0.40753300788E+01
 26.70   0.11788100552E-02   0.54236203623E+01   0.40478284235E+01
 26.73   0.11559183362E-02   0.54224318606E+01   0.40205221263E+01
 26.76   0.11323296667E-02   0.54215627190E+01   0.39934041509E+01
 26.79   0.11080757308E-02   0.54210135228E+01   0.39664675277E+01
 26.82   0.10831883360E-02   0.54207848108E+01   0.39397053650E+01
 26.85   0.10576993827E-02   0.54208770747E+01   0.39131108610E+01
 26.88   0.10316408345E-02   0.54212907571E+01   0.38866773138E+01
 26.91   0.10050446880E-02   0.54220262498E+01   0.38603981308E+01
 26.94   0.97794294358E-03   0.54230838920E+01   0.38342668376E+01
 26.97   0.95036757683E-03   0.54244639684E+01   0.38082770854E+01
 27.00   0.92235050990E-03   0.54261667063E+01   0.37824226588E+01
 27.03   0.89392358360E-03   0.54281922735E+01   0.37566974812E+01
 27.06   0.86511853006E-03   0.54305407755E+01   0.37310956217E+01
 27.09   0.83596694579E-03   0.54332122524E+01   0.37056112994E+01
 27.12   0.80650026509E-03   0.54362066763E+01   0.36802388882E+01
 27.15   0.77674973444E-03   0.54395239472E+01   0.36549729213E+01
 27.18   0.74674638707E-03   0.54431638904E+01   0.36298080943E+01
 27.21   0.71652101822E-03   0.54471262525E+01   0.36047392684E+01
 27.24   0.68610416106E-03   0.54514106978E+01   0.35797614737E+01
 27.27   0.65552606306E-03   0.54560168045E+01   0.35548699108E+01
 27.30   0.62481666312E-03   0.54609440605E+01   0.35300599535E+01
 27.33   0.59400556917E-03   0.54661918598E+01   0.35053271500E+01
 27.36   0.56312203670E-03   0.54717594978E+01   0.34806672252E+01
 27.39   0.53219494738E-03   0.54776461674E+01   0.34560760809E+01
 27.42   0.50125278899E-03   0.54838509547E+01   0.34315497978E+01
 27.45   0.47032363547E-03   0.54903728342E+01   0.34070846356E+01
 27.48   0.43943512800E-03   0.54972106650E+01   0.33826770344E+01
 27.51   0.40861445656E-03   0.55043631858E+01   0.33583236147E+01
 27.54   0.37788834216E-03   0.55118290109E+01   0.33340211778E+01
 27.57   0.34728302002E-03   0.55196066255E+01   0.33097667069E+01
 27.60   0.31682422293E-03   0.55276943812E+01   0.32855573663E+01
 27.63   0.28653716608E-03   0.55360904919E+01   0.32613905025E+01
 27.66   0.25644653159E-03   0.55447930292E+01   0.32372636438E+01
 27.69   0.22657645475E-03   0.55537999182E+01   0.32131745007E+01
 27.72   0.19695051027E-03   0.55631089338E+01   0.31891209660E+01
 27.75   0.16759169945E-03   0.55727176956E+01   0.31651011146E+01
 27.78   0.13852243832E-03   0.55826236653E+01   0.31411132040E+01
 27.81   0.10976454588E-03   0.55928241417E+01   0.31171556739E+01
 27.84   0.81339233716E-04   0.56033162582E+01   0.30932271469E+01
 27.87   0.53267095964E-04   0.56140969784E+01   0.30693264281E+01
 27.90   0.25568099900E-04   0.56251630937E+01   0.30454525056E+01
 27.93   0.62831835688E+01   0.56365112199E+01   0.30216045502E+01
 27.96   0.62831566734E+01   0.56481377945E+01   0.29977819163E+01
 27.99   0.62831302072E+01   0.56600390744E+01   0.29739841412E+01
 28.02   0.62831041877E+01   0.56722111337E+01   0.29502109462E+01
 28.05   0.62830786314E+01   0.56846498616E+01   0.29264622361E+01
 28.08   0.62830535545E+01   0.56973509612E+01   0.29027381000E+01
 28.11   0.62830289723E+01   0.57103099480E+01   0.28790388113E+01
 28.14   0.62830048995E+01   0.57235221492E+01   0.28553648278E+01
 28.17   0.62829813502E+01   0.57369827032E+01   0.28317167922E+01
 28.20   0.62829583377E+01   0.57506865593E+01   0.28080955323E+01
 28.23   0.62829358747E+01   0.57646284782E+01   0.27845020610E+01
 28.26   0.62829139731E+01   0.57788030328E+01   0.27609375767E+01
 28.29   0.62828926442E+01   0.57932046088E+01   0.27374034632E+01
 28.32   0.62828718986E+01   0.58078274069E+01   0.27139012898E+01
 28.35   0.62828517463E+01   0.58226654443E+01   0.26904328115E+01
 28.38   0.62828321965E+01   0.58377125572E+01   0.26669999683E+01
 28.41   0.62828132578E+01   0.58529624039E+01   0.26436048858E+01
 28.44   0.62827949379E+01   0.58684084678E+01   0.26202498739E+01
 28.47   0.62827772442E+01   0.58840440614E+01   0.25969374271E+01
 28.50   0.62827601832E+01   0.58998623303E+01   0.25736702235E+01
 28.53   0.62827437607E+01   0.59158562581E+01   0.25504511240E+01
 28.56   0.62827279819E+01   0.59320186713E+01   0.25272831713E+01
 28.59   0.62827128514E+01   0.59483422448E+01   0.25041695886E+01
 28.62   0.62826983730E+01   0.59648195080E+01   0.24811137785E+01
 28.65   0.62826845501E+01   0.59814428511E+01   0.24581193209E+01
 28.68   0.62826713852E+01   0.59982045317E+01   0.24351899713E+01
 28.71   0.62826588803E+01   0.60150966821E+01   0.24123296586E+01
 28.74   0.62826470367E+01   0.60321113170E+01   0.23895424824E+01
 28.77   0.62826358553E+01   0.60492403407E+01   0.23668327103E+01
 28.80   0.62826253361E+01   0.60664755559E+01   0.23442047748E+01
 28.83   0.62826154786E+01   0.60838086718E+01   0.23216632698E+01
 28.86   0.62826062819E+01   0.61012313132E+01   0.22992129464E+01
 28.89   0.62825977442E+01   0.61187350288E+01   0.22768587094E+01
 28.92   0.62825898634E+01   0.61363113013E+01   0.22546056119E+01
 28.95   0.62825826367E+01   0.61539515559E+01   0.22324588508E+01
 28.98   0.62825760608E+01   0.61716471706E+01   0.22104237612E+01
 29.01   0.62825701319E+01   0.61893894853E+01   0.21885058106E+01
 29.04   0.62825648456E+01   0.62071698120E+01   0.21667105928E+01
 29.07   0.62825601969E+01   0.62249794442E+01   0.21450438209E+01
 29.10   0.62825561806E+01   0.62428096673E+01   0.21235113205E+01
 29.13   0.62825527908E+01   0.62606517679E+01   0.21021190218E+01
 29.16   0.62825500211E+01   0.62784970439E+01   0.20808729520E+01
 29.19   0.62825478647E+01   0.13151507097E-01   0.20597792269E+01
 29.22   0.62825463143E+01   0.30977121525E-01   0.20388440414E+01
 29.25   0.62825453622E+01   0.48779969727E-01   0.20180736611E+01
 29.28   0.62825450004E+01   0.66551490944E-01   0.19974744121E+01
 29.31   0.62825452204E+01   0.84283183031E-01   0.19770526707E+01
 29.34   0.62825460130E+01   0.10196661136E+00   0.19568148536E+01
 29.37   0.62825473692E+01   0.11959341748E+00   0.19367674064E+01
 29.40   0.62825492792E+01   0.13715532745E+00   0.19169167926E+01
 29.43   0.62825517329E+01   0.15464415992E+00   0.18972694819E+01
 29.46   0.62825547200E+01   0.17205183383E+00   0.18778319386E+01
 29.49   0.62825582299E+01   0.18937037580E+00   0.18586106089E+01
 29.52   0.62825622515E+01   0.20659192707E+00   0.18396119086E+01
 29.55   0.62825667735E+01   0.22370875017E+00   0.18208422106E+01
 29.58   0.62825717844E+01   0.24071323504E+00   0.18023078315E+01
 29.61   0.62825772723E+01   0.25759790485E+00   0.17840150188E+01
 29.64   0.62825832250E+01   0.27435542129E+00   0.17659699372E+01
 29.67   0.62825896304E+01   0.29097858953E+00   0.17481786554E+01
 29.70   0.62825964758E+01   0.30746036259E+00   0.17306471323E+01
 29.73   0.62826037485E+01   0.32379384540E+00   0.17133812038E+01
 29.76   0.62826114354E+01   0.33997229827E+00   0.16963865685E+01
 29.79   0.62826195236E+01   0.35598914005E+00   0.16796687747E+01
 29.82   0.62826279996E+01   0.37183795070E+00   0.16632332061E+01
 29.85   0.62826368501E+01   0.38751247347E+00   0.16470850690E+01
 29.88   0.62826460615E+01   0.40300661669E+00   0.16312293785E+01
 29.91   0.62826556199E+01   0.41831445498E+00   0.16156709450E+01
 29.94   0.62826655118E+01   0.43343023019E+00   0.16004143618E+01
 29.97   0.62826757230E+01   0.44834835179E+00   0.15854639918E+01
 30.00   0.62826862397E+01   0.46306339699E+00   0.15708239550E+01
 30.03   0.62826970479E+01   0.47757011032E+00   0.15564981164E+01
 30.06   0.62827081333E+01   0.49186340296E+00   0.15424900741E+01
 30.09   0.62827194819E+01   0.50593835161E+00   0.15288031474E+01
 30.12   0.62827310795E+01   0.51979019715E+00   0.15154403661E+01
 30.15   0.62827429120E+01   0.53341434280E+00   0.15024044596E+01
 30.18   0.62827549652E+01   0.54680635214E+00   0.14896978467E+01
 30.21   0.62827672248E+01   0.55996194674E+00   0.14773226257E+01
 30.24   0.62827796768E+01   0.57287700357E+00   0.14652805652E+01
 30.27   0.62827923071E+01   0.58554755216E+00   0.14535730957E+01
 30.30   0.62828051017E+01   0.59796977154E+00   0.14422013008E+01
 30.33   0.62828180465E+01   0.61013998695E+00   0.14311659104E+01
 30.36   0.62828311277E+01   0.62205466640E+00   0.14204672931E+01
 30.39   0.62828443314E+01   0.63371041710E+00   0.14101054501E+01
 30.42   0.62828576440E+01   0.64510398166E+00   0.14000800097E+01
 30.45   0.62828710518E+01   0.65623223425E+00   0.13903902216E+01
 30.48   0.62828845412E+01   0.66709217668E+00   0.13810349529E+01
 30.51   0.62828980991E+01   0.67768093431E+00   0.13720126843E+01
 30.54   0.62829117120E+01   0.68799575200E+00   0.13633215067E+01
 30.57   0.62829253670E+01   0.69803398998E+00   0.13549591188E+01
 30.60   0.62829390511E+01   0.70779311972E+00   0.13469228254E+01
 30.63   0.62829527516E+01   0.71727071977E+00   0.13392095360E+01
 30.66   0.62829664558E+01   0.72646447167E+00   0.13318157644E+01
 30.69   0.62829801515E+01   0.73537215585E+00   0.13247376288E+01
 30.72   0.62829938264E+01   0.74399164761E+00   0.13179708525E+01
 30.75   0.62830074685E+01   0.75232091320E+00   0.13115107656E+01
 30.78   0.62830210660E+01   0.76035800588E+00   0.13053523062E+01
 30.81   0.62830346073E+01   0.76810106219E+00   0.12994900241E+01
 30.84   0.62830480812E+01   0.77554829830E+00   0.12939180830E+01
 30.87   0.62830614765E+01   0.78269800646E+00   0.12886302650E+01
 30.90   0.62830747823E+01   0.78954855159E+00   0.12836199743E+01
 30.93   0.62830879879E+01   0.79609836807E+00   0.12788802426E+01
 30.96   0.62831010831E+01   0.80234595660E+00   0.12744037344E+01
 30.99   0.62831140577E+01   0.80828988134E+00   0.12701827524E+01
 31.02   0.62831269017E+01   0.81392876714E+00   0.12662092446E+01
 31.05   0.62831396057E+01   0.81926129696E+00   0.12624748106E+01
 31.08   0.62831521602E+01   0.82428620956E+00   0.12589707090E+01
 31.11   0.62831645562E+01   0.82900229733E+00   0.12556878652E+01
 31.14   0.62831767850E+01   0.83340840431E+00   0.12526168794E+01
 31.17   0.35308675166E-05   0.83750342446E+00   0.12497480351E+01
 31.20   0.15399912584E-04   0.84128630019E+00   0.12470713077E+01
 31.23   0.27077062114E-04   0.84475602097E+00   0.12445763738E+01
 31.26   0.38554684991E-04   0.84791162234E+00   0.12422526205E+01
 31.29   0.49825444322E-04   0.85075218500E+00   0.12400891555E+01
 31.32   0.60882299309E-04   0.85327683422E+00   0.12380748162E+01
 31.35   0.71718507471E-04   0.85548473948E+00   0.12361981810E+01
 31.38   0.82327625833E-04   0.85737511425E+00   0.12344475786E+01
 31.41   0.92703512578E-04   0.85894721613E+00   0.12328110996E+01
 31.44   0.10284032784E-03   0.86020034711E+00   0.12312766064E+01
 31.47   0.11273253456E-03   0.86113385417E+00   0.12298317449E+01
 31.50   0.12237489888E-03   0.86174713000E+00   0.12284639552E+01
 31.53   0.13176249037E-03   0.86203961404E+00   0.12271604826E+01
 31.56   0.14089068175E-03   0.86201079366E+00   0.12259083896E+01
 31.59   0.14975514866E-03   0.86166020566E+00   0.12246945664E+01
 31.62   0.15835186890E-03   0.86098743792E+00   0.12235057434E+01
 31.65   0.16667712164E-03   0.85999213128E+00   0.12223285019E+01
 31.68   0.17472748620E-03   0.85867398164E+00   0.12211492864E+01
 31.71   0.18249984056E-03   0.85703274224E+00   0.12199544157E+01
 31.74   0.18999135973E-03   0.85506822619E+00   0.12187300953E+01
 31.77   0.19719951389E-03   0.85278030915E+00   0.12174624287E+01
 31.80   0.20412206619E-03   0.85016893220E+00   0.12161374293E+01
 31.83   0.21075707038E-03   0.84723410493E+00   0.12147410325E+01
 31.86   0.21710286809E-03   0.84397590860E+00   0.12132591074E+01
 31.89   0.22315808629E-03   0.84039449960E+00   0.12116774689E+01
 31.92   0.22892163396E-03   0.83649011297E+00   0.12099818895E+01
 31.95   0.23439269889E-03   0.83226306607E+00   0.12081581115E+01
 31.98   0.23957074445E-03   0.82771376242E+00   0.12061918592E+01
 32.01   0.24445550567E-03   0.82284269562E+00   0.12040688507E+01
 32.04   0.24904698547E-03   0.81765045343E+00   0.12017748103E+01
 32.07   0.25334545082E-03   0.81213772189E+00   0.11992954811E+01
 32.10   0.25735142829E-03   0.80630528956E+00   0.11966166369E+01
 32.13   0.26106569983E-03   0.80015405187E+00   0.11937240950E+01
 32.16   0.26448929812E-03   0.79368501540E+00   0.11906037285E+01
 32.19   0.26762350213E-03   0.78689930237E+00   0.11872414796E+01
 32.22   0.27046983190E-03   0.77979815503E+00   0.11836233720E+01
 32.25   0.27303004386E-03   0.77238294013E+00   0.11797355239E+01
 32.28   0.27530612563E-03   0.76465515337E+00   0.11755641617E+01
 32.31   0.27730029065E-03   0.75661642380E+00   0.11710956329E+01
 32.34   0.27901497295E-03   0.74826851825E+00   0.11663164199E+01
 32.37   0.28045282154E-03   0.73961334563E+00   0.11612131541E+01
 32.40   0.28161669486E-03   0.73065296123E+00   0.11557726296E+01
 32.43   0.28250965507E-03   0.72138957085E+00   0.11499818178E+01
 32.46   0.28313496217E-03   0.71182553492E+00   0.11438278820E+01
 32.49   0.28349606823E-03   0.70196337237E+00   0.11372981922E+01
 32.52   0.28359661123E-03   0.69180576447E+00   0.11303803404E+01
 32.55   0.28344040915E-03   0.68135555843E+00   0.11230621563E+01
 32.58   0.28303145372E-03   0.67061577085E+00   0.11153317230E+01
 32.61   0.28237390428E-03   0.65958959091E+00   0.11071773930E+01
 32.64   0.28147208162E-03   0.64828038340E+00   0.10985878054E+01
 32.67   0.28033046142E-03   0.63669169152E+00   0.10895519020E+01
 32.70   0.27895366811E-03   0.62482723927E+00   0.10800589452E+01
 32.73   0.27734646837E-03   0.61269093378E+00   0.10700985350E+01
 32.76   0.27551376486E-03   0.60028686714E+00   0.10596606276E+01
 32.79   0.27346058950E-03   0.58761931803E+00   0.10487355530E+01
 32.82   0.27119209723E-03   0.57469275298E+00   0.10373140340E+01
 32.85   0.26871355944E-03   0.56151182725E+00   0.10253872046E+01
 32.88   0.26603035754E-03   0.54808138543E+00   0.10129466297E+01
 32.91   0.26314797636E-03   0.53440646151E+00   0.99998432404E+00
 32.94   0.26007199774E-03   0.52049227873E+00   0.98649277168E+00
 32.97   0.25680809394E-03   0.50634424889E+00   0.97246494601E+00
 33.00   0.25336202147E-03   0.49196797130E+00   0.95789432934E+00
 33.03   0.24973961423E-03   0.47736923128E+00   0.94277493280E+00
 33.06   0.24594677747E-03   0.46255399828E+00   0.92710131620E+00
 33.09   0.24198948121E-03   0.44752842345E+00   0.91086860777E+00
 33.12   0.23787375382E-03   0.43229883688E+00   0.89407252374E+00
 33.15   0.23360567594E-03   0.41687174429E+00   0.87670938772E+00
 33.18   0.22919137412E-03   0.40125382339E+00   0.85877614967E+00
 33.21   0.22463701465E-03   0.38545191965E+00   0.84027040448E+00
 33.24   0.21994879724E-03   0.36947304172E+00   0.82119041002E+00
 33.27   0.21513294912E-03   0.35332435640E+00   0.80153510445E+00
 33.30   0.21019571911E-03   0.33701318312E+00   0.78130412284E+00
 33.33   0.20514337145E-03   0.32054698807E+00   0.76049781284E+00
 33.36   0.19998217989E-03   0.30393337787E+00   0.73911724932E+00
 33.39   0.19471842229E-03   0.28718009285E+00   0.71716424782E+00
 33.42   0.18935837444E-03   0.27029499991E+00   0.69464137672E+00
 33.45   0.18390830481E-03   0.25328608514E+00   0.67155196796E+00
 33.48   0.17837446877E-03   0.23616144590E+00   0.64790012608E+00
 33.51   0.17276310321E-03   0.21892928274E+00   0.62369073564E+00
 33.54   0.16708042132E-03   0.20159789094E+00   0.59892946665E+00
 33.57   0.16133260733E-03   0.18417565179E+00   0.57362277806E+00
 33.60   0.15552581119E-03   0.16667102360E+00   0.54777791898E+00
 33.63   0.14966614374E-03   0.14909253252E+00   0.52140292776E+00
 33.66   0.14375967181E-03   0.13144876313E+00   0.49450662848E+00
 33.69   0.13781241320E-03   0.11374834891E+00   0.46709862509E+00
 33.72   0.13183033236E-03   0.95999962544E-01   0.43918929277E+00
 33.75   0.12581933539E-03   0.78212306124E-01   0.41078976671E+00
 33.78   0.11978526597E-03   0.60394101316E-01   0.38191192801E+00
 33.81   0.11373390090E-03   0.42554079461E-01   0.35256838678E+00
 33.84   0.10767094575E-03   0.24700971703E-01   0.32277246238E+00
 33.87   0.10160203108E-03   0.68434991312E-02   0.29253816072E+00
 33.90   0.95532708329E-04   0.62721756702E+01   0.26188014875E+00
 33.93   0.89468445950E-04   0.62543355422E+01   0.23081372601E+00
 33.96   0.83414625934E-04   0.62365170552E+01   0.19935479347E+00
 33.99   0.77376540062E-04   0.62187287932E+01   0.16751981955E+00
 34.02   0.71359386553E-04   0.62009792829E+01   0.13532580357E+00
 34.05   0.65368266931E-04   0.61832769844E+01   0.10279023670E+00
 34.08   0.59408182622E-04   0.61656302823E+01   0.69931060586E-01
 34.11   0.53484032279E-04   0.61480474778E+01   0.36766623697E-01
 34.14   0.47600608539E-04   0.61305367799E+01   0.33156358326E-02
 34.17   0.41762595586E-04   0.61131062982E+01   0.62527824280E+01
 34.20   0.35974566472E-04   0.60957640353E+01   0.62188156747E+01
 34.23   0.30240980735E-04   0.60785178797E+01   0.61846201872E+01
 34.26   0.24566181892E-04   0.60613755989E+01   0.61502156334E+01
 34.29   0.18954395401E-04   0.60443448337E+01   0.61156217935E+01
 34.32   0.13409726833E-04   0.60274330917E+01   0.60808585074E+01
 34.35   0.79361594914E-05   0.60106477425E+01   0.60459456228E+01
 34.38   0.25375531578E-05   0.59939960125E+01   0.60109029425E+01
 34.41   0.62831825248E+01   0.59774849800E+01   0.59757501732E+01
 34.44   0.62831772872E+01   0.59611215719E+01   0.59405068742E+01
 34.47   0.62831721354E+01   0.59449125594E+01   0.59051924078E+01
 34.50   0.62831670727E+01   0.59288645554E+01   0.58698258905E+01
 34.53   0.62831621024E+01   0.59129840112E+01   0.58344261466E+01
 34.56   0.62831572274E+01   0.58972772150E+01   0.57990116627E+01
 34.59   0.62831524509E+01   0.58817502894E+01   0.57636005451E+01
 34.62   0.62831477756E+01   0.58664091906E+01   0.57282104793E+01
 34.65   0.62831432043E+01   0.58512597072E+01   0.56928586919E+01
 34.68   0.62831387393E+01   0.58363074597E+01   0.56575619151E+01
 34.71   0.62831343833E+01   0.58215579003E+01   0.56223363548E+01
 34.74   0.62831301385E+01   0.58070163137E+01   0.55871976604E+01
 34.77   0.62831260069E+01   0.57926878172E+01   0.55521608990E+01
 34.80   0.62831219907E+01   0.57785773619E+01   0.55172405316E+01
 34.83   0.62831180918E+01   0.57646897344E+01   0.54824503936E+01
 34.86   0.62831143118E+01   0.57510295581E+01   0.54478036771E+01
 34.89   0.62831106524E+01   0.57376012955E+01   0.54133129181E+01
 34.92   0.62831071151E+01   0.57244092502E+01   0.53789899850E+01
 34.95   0.62831037012E+01   0.57114575698E+01   0.53448460717E+01
 34.98   0.62831004120E+01   0.56987502486E+01   0.53108916931E+01
 35.01   0.62830972485E+01   0.56862911307E+01   0.52771366835E+01
 35.04   0.62830942117E+01   0.56740839131E+01   0.52435901977E+01
 35.07   0.62830913025E+01   0.56621321492E+01   0.52102607154E+01
 35.10   0.62830885215E+01   0.56504392526E+01   0.51771560473E+01
 35.13   0.62830858693E+01   0.56390085005E+01   0.51442833444E+01
 35.16   0.62830833464E+01   0.56278430377E+01   0.51116491093E+01
 35.19   0.62830809531E+01   0.56169458809E+01   0.50792592089E+01
 35.22   0.62830786896E+01   0.56063199220E+01   0.50471188901E+01
 35.25   0.62830765561E+01   0.55959679328E+01   0.50152327967E+01
 35.28   0.62830745524E+01   0.55858925691E+01   0.49836049876E+01
 35.31   0.62830726784E+01   0.55760963744E+01   0.49522389570E+01
 35.34   0.62830709340E+01   0.55665817845E+01   0.49211376551E+01
 35.37   0.62830693186E+01   0.55573511315E+01   0.48903035106E+01
 35.40   0.62830678318E+01   0.55484066476E+01   0.48597384537E+01
 35.43   0.62830664731E+01   0.55397504698E+01   0.48294439395E+01
 35.46   0.62830652417E+01   0.55313846433E+01   0.47994209725E+01
 35.49   0.62830641369E+01   0.55233111253E+01   0.47696701315E+01
 35.52   0.62830631576E+01   0.55155317896E+01   0.47401915942E+01
 35.55   0.62830623030E+01   0.55080484293E+01   0.47109851627E+01
 35.58   0.62830615719E+01   0.55008627610E+01   0.46820502888E+01
 35.61   0.62830609632E+01   0.54939764279E+01   0.46533860986E+01
 35.64   0.62830604755E+01   0.54873910035E+01   0.46249914179E+01
 35.67   0.62830601074E+01   0.54811079941E+01   0.45968647967E+01
 35.70   0.62830598575E+01   0.54751288422E+01   0.45690045335E+01
 35.73   0.62830597243E+01   0.54694549290E+01   0.45414086993E+01
 35.76   0.62830597062E+01   0.54640875773E+01   0.45140751609E+01
 35.79   0.62830598013E+01   0.54590280537E+01   0.44870016035E+01
 35.82   0.62830600080E+01   0.54542775706E+01   0.44601855532E+01
 35.85   0.62830603243E+01   0.54498372884E+01   0.44336243985E+01
 35.88   0.62830607484E+01   0.54457083175E+01   0.44073154111E+01
 35.91   0.62830612782E+01   0.54418917193E+01   0.43812557658E+01
 35.94   0.62830619117E+01   0.54383885078E+01   0.43554425603E+01
 35.97   0.62830626467E+01   0.54351996511E+01   0.43298728336E+01
 36.00   0.62830634811E+01   0.54323260714E+01   0.43045435836E+01
 36.03   0.62830644127E+01   0.54297686465E+01   0.42794517849E+01
 36.06   0.62830654390E+01   0.54275282097E+01   0.42545944041E+01
 36.09   0.62830665579E+01   0.54256055502E+01   0.42299684161E+01
 36.12   0.62830677669E+01   0.54240014131E+01   0.42055708183E+01
 36.15   0.62830690635E+01   0.54227164987E+01   0.41813986450E+01
 36.18   0.62830704452E+01   0.54217514625E+01   0.41574489802E+01
 36.21   0.62830719097E+01   0.54211069143E+01   0.41337189702E+01
 36.24   0.62830734542E+01   0.54207834171E+01   0.41102058351E+01
 36.27   0.62830750762E+01   0.54207814859E+01   0.40869068805E+01
 36.30   0.62830767731E+01   0.54211015865E+01   0.40638195068E+01
 36.33   0.62830785422E+01   0.54217441335E+01   0.40409412197E+01
 36.36   0.62830803809E+01   0.54227094887E+01   0.40182696388E+01
 36.39   0.62830822864E+01   0.54239979591E+01   0.39958025061E+01
 36.42   0.62830842561E+01   0.54256097943E+01   0.39735376937E+01
 36.45   0.62830862871E+01   0.54275451843E+01   0.39514732109E+01
 36.48   0.62830883768E+01   0.54298042566E+01   0.39296072113E+01
 36.51   0.62830905224E+01   0.54323870736E+01   0.39079379982E+01
 36.54   0.62830927212E+01   0.54352936294E+01   0.38864640308E+01
 36.57   0.62830949702E+01   0.54385238465E+01   0.38651839293E+01
 36.60   0.62830972669E+01   0.54420775727E+01   0.38440964790E+01
 36.63   0.62830996083E+01   0.54459545773E+01   0.38232006350E+01
 36.66   0.62831019917E+01   0.54501545475E+01   0.38024955262E+01
 36.69   0.62831044144E+01   0.54546770846E+01   0.37819804580E+01
 36.72   0.62831068735E+01   0.54595217002E+01   0.37616549159E+01
 36.75   0.62831093664E+01   0.54646878119E+01   0.37415185681E+01
 36.78   0.62831118902E+01   0.54701747395E+01   0.37215712676E+01
 36.81   0.62831144422E+01   0.54759817003E+01   0.37018130544E+01
 36.84   0.62831170197E+01   0.54821078053E+01   0.36822441571E+01
 36.87   0.62831196200E+01   0.54885520545E+01   0.36628649944E+01
 36.90   0.62831222404E+01   0.54953133325E+01   0.36436761764E+01
 36.93   0.62831248783E+01   0.55023904043E+01   0.36246785052E+01
 36.96   0.62831275309E+01   0.55097819106E+01   0.36058729754E+01
 36.99   0.62831301958E+01   0.55174863636E+01   0.35872607752E+01
 37.02   0.62831328704E+01   0.55255021422E+01   0.35688432860E+01
 37.05   0.62831355520E+01   0.55338274880E+01   0.35506220825E+01
 37.08   0.62831382381E+01   0.55424605006E+01   0.35325989325E+01
 37.11   0.62831409263E+01   0.55513991336E+01   0.35147757966E+01
 37.14   0.62831436142E+01   0.55606411904E+01   0.34971548276E+01
 37.17   0.62831462992E+01   0.55701843198E+01   0.34797383695E+01
 37.20   0.62831489791E+01   0.55800260125E+01   0.34625289570E+01
 37.23   0.62831516515E+01   0.55901635968E+01   0.34455293138E+01
 37.26   0.62831543141E+01   0.56005942357E+01   0.34287423519E+01
 37.29   0.62831569646E+01   0.56113149225E+01   0.34121711702E+01
 37.32   0.62831596009E+01   0.56223224783E+01   0.33958190525E+01
 37.35   0.62831622208E+01   0.56336135486E+01   0.33796894662E+01
 37.38   0.62831648221E+01   0.56451846006E+01   0.33637860606E+01
 37.41   0.62831674029E+01   0.56570319210E+01   0.33481126647E+01
